strategy,cutoff,reactions_for_300modes
s3gfn,0.3,
s3gfn,0.35,
s3gfn,0.4,
s3gfn,0.45,
s3gfn,0.5,
s3gfn,0.55,
s3gfn,0.6,
s3gfn,0.65,
s3gfn,0.7,
s3gfn,0.75,
s3gfn,0.8,
s3gfn,0.85,
s3gfn,0.9,
