gate,best_modes,best_rxn_per_mode,best_stop_reason,hub_modes,hub_rxn_per_mode,hub_stop_reason,edge,hub_hubs_used,hub_reward_gen_calls,pool_limited
0.5,300,3.727,modes,300,1.127,modes,3.307,15,131774,False
0.7,300,3.727,modes,300,1.153,modes,3.232,20,156337,False
0.9,300,3.727,modes,300,1.213,modes,3.073,31,215440,False
