strategy,tau,similarity,modes,reactions_used,reactions_per_mode,reward_gen_calls,stop_reason,pool_limited,total_modes_run,total_reactions_run,wall_s
best_candidate,6.5,0.7,77,299,3.8831,0,reactions,False,78,303,0.05
hub_batching,6.5,0.75,264,300,1.1364,10505,reactions,False,264,300,0.13
best_candidate,6.5,0.75,77,299,3.8831,0,reactions,False,78,303,0.05
hub_batching,6.5,0.8,273,300,1.0989,7293,reactions,False,273,300,0.14
best_candidate,6.5,0.8,77,299,3.8831,0,reactions,False,78,303,0.05
hub_batching,6.5,0.85,275,300,1.0909,6306,reactions,False,275,300,0.14
best_candidate,6.5,0.85,77,299,3.8831,0,reactions,False,78,303,0.05
hub_batching,6.5,0.9,278,300,1.0791,5893,reactions,False,278,300,0.14
best_candidate,6.5,0.9,77,299,3.8831,0,reactions,False,78,303,0.05
hub_batching,7.0,0.3,43,170,3.9535,189648,pool_exhausted,True,43,170,0.18
best_candidate,7.0,0.3,5,20,4.0,0,pool_exhausted,True,5,20,0.01
hub_batching,7.0,0.35,62,240,3.871,189648,pool_exhausted,True,62,240,0.11
best_candidate,7.0,0.35,6,24,4.0,0,pool_exhausted,True,6,24,0.01
hub_batching,7.0,0.4,79,298,3.7722,176947,reactions,False,80,302,0.11
best_candidate,7.0,0.4,7,28,4.0,0,pool_exhausted,True,7,28,0.01
hub_batching,7.0,0.45,87,300,3.4483,143341,reactions,False,87,300,0.1
best_candidate,7.0,0.45,8,32,4.0,0,pool_exhausted,True,8,32,0.02
hub_batching,7.0,0.5,99,300,3.0303,120811,reactions,False,99,300,0.1
best_candidate,7.0,0.5,9,36,4.0,0,pool_exhausted,True,9,36,0.02
hub_batching,7.0,0.55,120,298,2.4833,100543,reactions,False,121,302,0.1
best_candidate,7.0,0.55,9,36,4.0,0,pool_exhausted,True,9,36,0.02
hub_batching,7.0,0.6,148,300,2.027,79015,reactions,False,148,300,0.11
best_candidate,7.0,0.6,9,36,4.0,0,pool_exhausted,True,9,36,0.02
hub_batching,7.0,0.65,184,300,1.6304,59716,reactions,False,184,300,0.12
best_candidate,7.0,0.65,10,40,4.0,0,pool_exhausted,True,10,40,0.02
hub_batching,7.0,0.7,227,300,1.3216,35706,reactions,False,227,300,0.13
best_candidate,7.0,0.7,10,40,4.0,0,pool_exhausted,True,10,40,0.02
hub_batching,7.0,0.75,236,300,1.2712,31423,reactions,False,236,300,0.13
best_candidate,7.0,0.75,10,40,4.0,0,pool_exhausted,True,10,40,0.02
hub_batching,7.0,0.8,239,300,1.2552,30949,reactions,False,239,300,0.13
best_candidate,7.0,0.8,10,40,4.0,0,pool_exhausted,True,10,40,0.02
hub_batching,7.0,0.85,251,300,1.1952,20922,reactions,False,251,300,0.13
best_candidate,7.0,0.85,10,40,4.0,0,pool_exhausted,True,10,40,0.02
hub_batching,7.0,0.9,251,300,1.1952,20922,reactions,False,251,300,0.13
best_candidate,7.0,0.9,10,40,4.0,0,pool_exhausted,True,10,40,0.02
hub_batching,7.5,0.3,12,47,3.9167,189648,pool_exhausted,True,12,47,0.08
best_candidate,7.5,0.3,0,0,,0,pool_exhausted,True,0,0,0.01
hub_batching,7.5,0.35,14,55,3.9286,189648,pool_exhausted,True,14,55,0.08
best_candidate,7.5,0.35,0,0,,0,pool_exhausted,True,0,0,0.01
hub_batching,7.5,0.4,17,67,3.9412,189648,pool_exhausted,True,17,67,0.08
best_candidate,7.5,0.4,0,0,,0,pool_exhausted,True,0,0,0.01
hub_batching,7.5,0.45,20,76,3.8,189648,pool_exhausted,True,20,76,0.08
best_candidate,7.5,0.45,0,0,,0,pool_exhausted,True,0,0,0.01
hub_batching,7.5,0.5,28,93,3.3214,189648,pool_exhausted,True,28,93,0.08
best_candidate,7.5,0.5,0,0,,0,pool_exhausted,True,0,0,0.01
hub_batching,7.5,0.55,34,101,2.9706,189648,pool_exhausted,True,34,101,0.08
best_candidate,7.5,0.55,0,0,,0,pool_exhausted,True,0,0,0.01
hub_batching,7.5,0.6,42,112,2.6667,189648,pool_exhausted,True,42,112,0.09
best_candidate,7.5,0.6,0,0,,0,pool_exhausted,True,0,0,0.01
hub_batching,7.5,0.65,50,126,2.52,189648,pool_exhausted,True,50,126,0.1
best_candidate,7.5,0.65,0,0,,0,pool_exhausted,True,0,0,0.01
hub_batching,7.5,0.7,65,147,2.2615,189648,pool_exhausted,True,65,147,0.1
best_candidate,7.5,0.7,0,0,,0,pool_exhausted,True,0,0,0.01
hub_batching,7.5,0.75,73,155,2.1233,189648,pool_exhausted,True,73,155,0.1
best_candidate,7.5,0.75,0,0,,0,pool_exhausted,True,0,0,0.01
hub_batching,7.5,0.8,83,165,1.988,189648,pool_exhausted,True,83,165,0.11
best_candidate,7.5,0.8,0,0,,0,pool_exhausted,True,0,0,0.01
hub_batching,7.5,0.85,107,195,1.8224,189648,pool_exhausted,True,107,195,0.12
best_candidate,7.5,0.85,0,0,,0,pool_exhausted,True,0,0,0.01
hub_batching,7.5,0.9,107,195,1.8224,189648,pool_exhausted,True,107,195,0.12
best_candidate,7.5,0.9,0,0,,0,pool_exhausted,True,0,0,0.01
hub_batching,8.0,0.3,0,0,,0,pool_exhausted,True,0,0,0.07
best_candidate,8.0,0.3,0,0,,0,pool_exhausted,True,0,0,0.01
hub_batching,8.0,0.35,0,0,,0,pool_exhausted,True,0,0,0.07
best_candidate,8.0,0.35,0,0,,0,pool_exhausted,True,0,0,0.01
hub_batching,8.0,0.4,0,0,,0,pool_exhausted,True,0,0,0.07
best_candidate,8.0,0.4,0,0,,0,pool_exhausted,True,0,0,0.01
hub_batching,8.0,0.45,0,0,,0,pool_exhausted,True,0,0,0.07
best_candidate,8.0,0.45,0,0,,0,pool_exhausted,True,0,0,0.01
hub_batching,8.0,0.5,0,0,,0,pool_exhausted,True,0,0,0.07
