cell,arm,slice,class,named_reaction,parent,n_molecules,n_wells,n_multi_product_wells,n_distinct_reagent_sets,n_distinct_parents,n_distinct_templates,reward_min,reward_median,reward_max,first_step,last_step
scent_seh_seed43_par800,hub_batching,at100rxn,A,Buchwald-Hartwig amination,Brc1ccc2nc(C3CNC3)[nH]c2c1,26,22,2,22,1,3,5.08,6.597,7.621,1,51
scent_seh_seed43_par800,hub_batching,at100rxn,A,Amide coupling,O=C(O)C1Cc2ccccc2CN1,15,14,1,14,1,3,6.383,6.627,7.362,54,78
scent_seh_seed43_par800,hub_batching,at100rxn,A,Urea formation (amine + amine),Brc1ccc2nc(C3CNC3)[nH]c2c1,9,9,0,9,1,2,5.012,5.788,6.403,23,53
scent_seh_seed43_par800,hub_batching,at100rxn,A,Direct acid -> amine (reductive),O=C(O)C1Cc2ccccc2CN1,6,6,0,6,1,3,6.371,6.628,6.969,57,79
scent_seh_seed43_par800,hub_batching,at100rxn,A,N-alkylation (azole N-H + alkyl halide),Brc1ccc2nc(C3CNC3)[nH]c2c1,5,5,0,5,1,2,5.121,5.489,6.447,22,50
scent_seh_seed43_par800,hub_batching,at100rxn,A,Amide coupling,Brc1ccc2nc(C3CNC3)[nH]c2c1,3,3,0,3,1,1,5.777,6.904,7.089,9,31
scent_seh_seed43_par800,hub_batching,at100rxn,A,Reductive amination (aldehyde),Brc1ccc2nc(C3CNC3)[nH]c2c1,3,3,0,3,1,1,5.323,5.38,5.581,37,45
scent_seh_seed43_par800,hub_batching,at100rxn,A,Direct acid -> amine (reductive),Brc1ccc2nc(C3CNC3)[nH]c2c1,2,2,0,2,1,1,6.872,7.066,7.259,4,14
scent_seh_seed43_par800,hub_batching,at100rxn,A,Suzuki coupling,Brc1ccc2nc(C3CNC3)[nH]c2c1,2,2,0,2,1,1,6.721,6.928,7.134,7,17
scent_seh_seed43_par800,hub_batching,at100rxn,A,Reductive amination (ketone),Brc1ccc2nc(C3CNC3)[nH]c2c1,2,2,0,2,1,1,5.199,5.322,5.446,40,48
scent_seh_seed43_par800,hub_batching,at100rxn,A,Buchwald-Hartwig amination,O=C(O)C1Cc2ccccc2CN1,2,2,0,2,1,1,6.435,6.702,6.969,58,74
scent_seh_seed43_par800,hub_batching,at100rxn,A,Pictet-Spengler cyclisation,O=C(O)C1Cc2ccccc2CN1,2,2,0,2,1,2,6.646,6.791,6.936,59,65
scent_seh_seed43_par800,hub_batching,at100rxn,A,Sonogashira coupling,Brc1ccc2nc(C3CNC3)[nH]c2c1,1,1,0,1,1,1,7.012,7.012,7.012,11,11
scent_seh_seed43_par800,hub_batching,at100rxn,A,Benzoxazole formation,O=C(O)C1Cc2ccccc2CN1,1,1,0,1,1,1,6.519,6.519,6.519,69,69
scent_seh_seed43_par800,hub_batching,at100rxn,B,Buchwald-Hartwig amination,,28,24,2,22,2,3,5.08,6.597,7.621,1,74
scent_seh_seed43_par800,hub_batching,at100rxn,B,Amide coupling,,18,17,1,17,2,3,5.777,6.632,7.362,9,78
scent_seh_seed43_par800,hub_batching,at100rxn,B,Urea formation (amine + amine),,9,9,0,9,1,2,5.012,5.788,6.403,23,53
scent_seh_seed43_par800,hub_batching,at100rxn,B,Direct acid -> amine (reductive),,8,8,0,7,2,3,6.371,6.843,7.259,4,79
scent_seh_seed43_par800,hub_batching,at100rxn,B,N-alkylation (azole N-H + alkyl halide),,5,5,0,5,1,2,5.121,5.489,6.447,22,50
scent_seh_seed43_par800,hub_batching,at100rxn,B,Reductive amination (aldehyde),,3,3,0,3,1,1,5.323,5.38,5.581,37,45
scent_seh_seed43_par800,hub_batching,at100rxn,B,Suzuki coupling,,2,2,0,2,1,1,6.721,6.928,7.134,7,17
scent_seh_seed43_par800,hub_batching,at100rxn,B,Reductive amination (ketone),,2,2,0,2,1,1,5.199,5.322,5.446,40,48
