strategy,tau,similarity,modes,reactions_used,reactions_per_mode,reward_gen_calls,stop_reason,pool_limited,total_modes_run,total_reactions_run,wall_s
hub_batching,8.0,0.65,0,0,,0,pool_exhausted,True,0,0,0.08
best_candidate,8.0,0.65,0,0,,0,pool_exhausted,True,0,0,0.01
hub_batching,8.0,0.7,0,0,,0,pool_exhausted,True,0,0,0.08
best_candidate,8.0,0.7,0,0,,0,pool_exhausted,True,0,0,0.01
hub_batching,8.0,0.75,0,0,,0,pool_exhausted,True,0,0,0.09
best_candidate,8.0,0.75,0,0,,0,pool_exhausted,True,0,0,0.01
hub_batching,8.0,0.8,0,0,,0,pool_exhausted,True,0,0,0.09
best_candidate,8.0,0.8,0,0,,0,pool_exhausted,True,0,0,0.01
hub_batching,8.0,0.85,0,0,,0,pool_exhausted,True,0,0,0.09
best_candidate,8.0,0.85,0,0,,0,pool_exhausted,True,0,0,0.01
hub_batching,8.0,0.9,0,0,,0,pool_exhausted,True,0,0,0.09
best_candidate,8.0,0.9,0,0,,0,pool_exhausted,True,0,0,0.01
