gate,best_modes,best_rxn_per_mode,best_stop_reason,hub_modes,hub_rxn_per_mode,hub_stop_reason,edge,hub_hubs_used,hub_reward_gen_calls,pool_limited
-11.0,8,3.0,pool_exhausted,51,2.529,pool_exhausted,1.186,39,230868,True
-10.5,31,2.935,pool_exhausted,154,2.227,pool_exhausted,1.318,97,230868,True
-10.0,116,2.862,pool_exhausted,300,1.813,modes,1.579,126,204324,False
-9.5,300,2.88,modes,300,1.483,modes,1.942,77,99517,False
-9.0,300,2.88,modes,300,1.307,modes,2.204,50,60730,False
-8.5,300,2.88,modes,300,1.233,modes,2.336,38,43582,False
-8.0,300,2.88,modes,300,1.167,modes,2.468,28,31641,False
