named_reaction,n_molecules,n_class_a_subgroups,largest_class_a,mean_class_a,cell,arm,slice
Buchwald-Hartwig amination,28,2,26,14.0,scent_seh_seed43_m10,hub_batching,at100rxn
Amide coupling,18,2,15,9.0,scent_seh_seed43_m10,hub_batching,at100rxn
Urea formation (amine + amine),9,1,9,9.0,scent_seh_seed43_m10,hub_batching,at100rxn
Direct acid -> amine (reductive),8,2,6,4.0,scent_seh_seed43_m10,hub_batching,at100rxn
N-alkylation (azole N-H + alkyl halide),5,1,5,5.0,scent_seh_seed43_m10,hub_batching,at100rxn
Reductive amination (aldehyde),3,1,3,3.0,scent_seh_seed43_m10,hub_batching,at100rxn
Suzuki coupling,2,1,2,2.0,scent_seh_seed43_m10,hub_batching,at100rxn
Reductive amination (ketone),2,1,2,2.0,scent_seh_seed43_m10,hub_batching,at100rxn
Pictet-Spengler cyclisation,2,1,2,2.0,scent_seh_seed43_m10,hub_batching,at100rxn
Sonogashira coupling,1,1,1,1.0,scent_seh_seed43_m10,hub_batching,at100rxn
Benzoxazole formation,1,1,1,1.0,scent_seh_seed43_m10,hub_batching,at100rxn
Buchwald-Hartwig amination,99,6,31,16.5,scent_seh_seed43_m10,hub_batching,full
Amide coupling,53,6,31,8.83,scent_seh_seed43_m10,hub_batching,full
Urea formation (amine + amine),49,6,9,8.17,scent_seh_seed43_m10,hub_batching,full
Direct acid -> amine (reductive),36,6,26,6.0,scent_seh_seed43_m10,hub_batching,full
Reductive amination (ketone),16,6,5,2.67,scent_seh_seed43_m10,hub_batching,full
Reductive amination (aldehyde),10,5,3,2.0,scent_seh_seed43_m10,hub_batching,full
SNAr (halo-heteroarene + amine),10,4,3,2.5,scent_seh_seed43_m10,hub_batching,full
Suzuki coupling,8,3,3,2.67,scent_seh_seed43_m10,hub_batching,full
N-alkylation (azole N-H + alkyl halide),5,1,5,5.0,scent_seh_seed43_m10,hub_batching,full
Sonogashira coupling,3,3,1,1.0,scent_seh_seed43_m10,hub_batching,full
Pictet-Spengler cyclisation,3,1,3,3.0,scent_seh_seed43_m10,hub_batching,full
Benzimidazole formation,2,1,2,2.0,scent_seh_seed43_m10,hub_batching,full
SNAr (activated aryl fluoride + amine),2,2,1,1.0,scent_seh_seed43_m10,hub_batching,full
Benzoxazole formation,1,1,1,1.0,scent_seh_seed43_m10,hub_batching,full
Esterification,1,1,1,1.0,scent_seh_seed43_m10,hub_batching,full
Williamson ether synthesis,1,1,1,1.0,scent_seh_seed43_m10,hub_batching,full
