cell,arm,slice,named_reaction,parent_input,local_modes,local_capped,delivered_modes,retained_frac,delivered_ge_min,hub_truncated,n_wells,first_step,last_step
scent_seh_seed43_m10,hub_batching_modes10_reward,at100rxn,Amide coupling,O=C(O)[C@@H]1Cc2ccccc2CN1,32,False,28,0.875,True,True,26,28,79
scent_seh_seed43_m10,hub_batching_modes10_reward,at100rxn,Buchwald-Hartwig amination,Brc1ccc2nc(C3CNC3)[nH]c2c1,27,False,27,1.0,True,False,24,1,27
scent_seh_seed43_m10,hub_batching_modes10_reward,at100rxn,Direct acid -> amine (reductive),O=C(O)[C@@H]1Cc2ccccc2CN1,34,False,19,0.559,True,True,18,32,74
scent_seh_seed43_m10,hub_batching_modes10_reward,at100rxn,Urea formation (amine + amine),O=C(O)[C@@H]1Cc2ccccc2CN1,12,False,5,0.417,False,True,5,69,78
scent_seh_seed43_m10,hub_batching_modes10_reward,full,Buchwald-Hartwig amination,O=C(Nc1cc(Br)n[nH]1)C1CNC1,35,False,37,1.057,True,False,31,117,161
scent_seh_seed43_m10,hub_batching_modes10_reward,full,Amide coupling,O=C(O)[C@@H]1Cc2ccccc2CN1,32,False,32,1.0,True,False,30,28,92
scent_seh_seed43_m10,hub_batching_modes10_reward,full,Reductive amination (aldehyde),O=Cc1ccc(C(=O)NC2CC2)cc1,32,False,32,1.0,True,False,31,172,203
scent_seh_seed43_m10,hub_batching_modes10_reward,full,Buchwald-Hartwig amination,Brc1ccc2nc(C3CNC3)[nH]c2c1,27,False,27,1.0,True,False,24,1,27
scent_seh_seed43_m10,hub_batching_modes10_reward,full,Direct acid -> amine (reductive),O=C(O)[C@@H]1Cc2ccccc2CN1,34,False,26,0.765,True,False,25,32,91
scent_seh_seed43_m10,hub_batching_modes10_reward,full,Buchwald-Hartwig amination,Brc1ccc2nc(C3CCN3)oc2c1,24,False,24,1.0,True,False,22,93,116
scent_seh_seed43_m10,hub_batching_modes10_reward,full,Suzuki coupling,O=C(Nc1cccc(B(O)O)c1)C1CCN1,16,False,16,1.0,True,False,16,204,219
scent_seh_seed43_m10,hub_batching_modes10_reward,full,Amide coupling,O=C(O)c1ccc2[nH]c(C3CNC3)nc2c1,21,False,15,0.714,True,False,13,247,273
scent_seh_seed43_m10,hub_batching_modes10_reward,full,N-alkylation (azole N-H + alkyl halide),O=C(NC1CC1)c1ccc(CCl)cc1,14,False,14,1.0,True,False,14,232,245
scent_seh_seed43_m10,hub_batching_modes10_reward,full,Direct acid -> amine (reductive),O=C(O)c1ccc2[nH]c(C3CNC3)nc2c1,23,False,14,0.609,True,False,13,246,274
scent_seh_seed43_m10,hub_batching_modes10_reward,full,Reductive amination (aldehyde),O=Cc1cccc(C(=O)NC2CC2)c1,26,False,12,0.462,True,False,12,220,231
scent_seh_seed43_m10,hub_batching_modes10_reward,full,Buchwald-Hartwig amination,Nc1ccc(-c2cccc(NC[C@@H]3Cc4ccccc4CN3)c2)cc1,10,False,10,1.0,True,False,8,162,171
scent_seh_seed43_m10,hub_batching_modes10_reward,full,Urea formation (amine + amine),Nc1cccc2ccn(CC3CC3)c12,10,False,10,1.0,True,False,9,275,289
scent_seh_seed43_m10,hub_batching_modes10_reward,full,Buchwald-Hartwig amination,Nc1cccc2ccn(CC3CC3)c12,10,False,10,1.0,True,False,10,277,294
scent_seh_seed43_m10,hub_batching_modes10_reward,full,Urea formation (amine + amine),O=C(Nc1cc(Br)n[nH]1)C1CNC1,13,False,8,0.615,False,False,7,145,160
