strategy,n_modes,n_native_routes,native_route_coverage,count_once_reactions,sparrow_reactions,sparrow_priced_modes,abs_diff,rel_diff,sparrow_milp_status,sparrow_n_reaction_nodes,sparrow_n_shared_compounds
best_candidate,100,100,1.0,374,348,100,26,0.0695,Optimal,360,59
hub_batching,100,100,1.0,115,119,100,4,0.0348,Optimal,121,45
