k,n_hubs_used,total_modes,min,p25,median,mean,p75,max,max_over_min,max_over_median,cv,gini,top1_share,top5_share,total_reactions,reactions_per_mode,reward_gen_calls,stop_reason,ct_setup_s,ct_hub_pick_s,ct_enumeration_s,ct_reward_gen_s,ct_flow_extract_s,ct_mode_selection_s,compute_total_s
0,57,300,1,1,4,5.263,7,17,17.0,4.25,0.813,0.443,0.057,0.24,367,1.223,315539,modes,26.689,0.159,5941.2978,366.2061,1135.6883,1.7486,7471.7888
16,45,300,1,3,5,6.667,10,21,21.0,4.2,0.72,0.385,0.07,0.28,364,1.213,248356,modes,26.689,0.159,4646.2078,283.4156,884.4181,1.0889,5841.9784
50,29,300,1,5,10,10.345,13,28,28.0,2.8,0.68,0.369,0.093,0.38,378,1.26,158660,modes,26.689,0.159,2950.9393,186.2244,567.3001,0.9701,3732.2819
100,19,300,2,6,13,15.789,24,37,18.5,2.85,0.65,0.366,0.123,0.503,422,1.407,85165,modes,26.689,0.159,1578.5404,101.5897,296.4384,1.0677,2004.4843
200,10,300,7,11,26.5,30.0,44,65,9.29,2.45,0.673,0.373,0.217,0.813,556,1.853,52865,modes,26.689,0.159,945.0363,63.3874,182.6563,1.0368,1218.9649
