named_reaction,n_molecules,n_class_a_subgroups,largest_class_a,mean_class_a,cell,arm,slice
Reductive amination (aldehyde),110,110,1,1.0,scent_drd2_seed44_par10,best_candidate,full
Direct acid -> amine (reductive),63,63,1,1.0,scent_drd2_seed44_par10,best_candidate,full
Reductive amination (ketone),34,34,1,1.0,scent_drd2_seed44_par10,best_candidate,full
Pictet-Spengler cyclisation,25,25,1,1.0,scent_drd2_seed44_par10,best_candidate,full
Functional-group interconversion (Br -> Cl),22,22,1,1.0,scent_drd2_seed44_par10,best_candidate,full
Functional-group interconversion (Br -> I),22,22,1,1.0,scent_drd2_seed44_par10,best_candidate,full
Sonogashira coupling,8,8,1,1.0,scent_drd2_seed44_par10,best_candidate,full
aza-Michael addition (enone),6,6,1,1.0,scent_drd2_seed44_par10,best_candidate,full
Functional-group interconversion (Br -> Oh),5,5,1,1.0,scent_drd2_seed44_par10,best_candidate,full
Functional-group interconversion (Br -> Sh),3,3,1,1.0,scent_drd2_seed44_par10,best_candidate,full
Functional-group interconversion (Cl -> I),1,1,1,1.0,scent_drd2_seed44_par10,best_candidate,full
Functional-group interconversion (Cl -> Br),1,1,1,1.0,scent_drd2_seed44_par10,best_candidate,full
Direct acid -> amine (reductive),39,3,21,13.0,scent_drd2_seed44_par10,hub_batching_par10,at100rxn
Esterification,10,2,9,5.0,scent_drd2_seed44_par10,hub_batching_par10,at100rxn
Reductive amination (ketone),9,2,8,4.5,scent_drd2_seed44_par10,hub_batching_par10,at100rxn
Buchwald-Hartwig amination,6,2,5,3.0,scent_drd2_seed44_par10,hub_batching_par10,at100rxn
Amide coupling,4,2,2,2.0,scent_drd2_seed44_par10,hub_batching_par10,at100rxn
SNAr (activated aryl fluoride + amine),4,1,4,4.0,scent_drd2_seed44_par10,hub_batching_par10,at100rxn
Reductive amination (aldehyde),4,1,4,4.0,scent_drd2_seed44_par10,hub_batching_par10,at100rxn
Pictet-Spengler cyclisation,1,1,1,1.0,scent_drd2_seed44_par10,hub_batching_par10,at100rxn
Urea formation (amine + amine),1,1,1,1.0,scent_drd2_seed44_par10,hub_batching_par10,at100rxn
Direct acid -> amine (reductive),119,15,21,7.93,scent_drd2_seed44_par10,hub_batching_par10,full
Reductive amination (ketone),45,9,14,5.0,scent_drd2_seed44_par10,hub_batching_par10,full
Pictet-Spengler cyclisation,26,10,6,2.6,scent_drd2_seed44_par10,hub_batching_par10,full
Amide coupling,24,11,4,2.18,scent_drd2_seed44_par10,hub_batching_par10,full
Buchwald-Hartwig amination,23,10,5,2.3,scent_drd2_seed44_par10,hub_batching_par10,full
Reductive amination (aldehyde),19,8,5,2.38,scent_drd2_seed44_par10,hub_batching_par10,full
Esterification,12,3,9,4.0,scent_drd2_seed44_par10,hub_batching_par10,full
Urea formation (amine + amine),11,5,4,2.2,scent_drd2_seed44_par10,hub_batching_par10,full
SNAr (activated aryl fluoride + amine),9,4,4,2.25,scent_drd2_seed44_par10,hub_batching_par10,full
N-alkylation (azole N-H + alkyl halide),3,2,2,1.5,scent_drd2_seed44_par10,hub_batching_par10,full
Benzimidazole formation (N-substituted),3,2,2,1.5,scent_drd2_seed44_par10,hub_batching_par10,full
SNAr (halo-heteroarene + amine),2,1,2,2.0,scent_drd2_seed44_par10,hub_batching_par10,full
Williamson ether synthesis,1,1,1,1.0,scent_drd2_seed44_par10,hub_batching_par10,full
Benzimidazole formation,1,1,1,1.0,scent_drd2_seed44_par10,hub_batching_par10,full
Suzuki coupling,1,1,1,1.0,scent_drd2_seed44_par10,hub_batching_par10,full
Tetrazole formation (nitrile + alkyl halide),1,1,1,1.0,scent_drd2_seed44_par10,hub_batching_par10,full
