strategy,tau,similarity,modes,reactions_used,reactions_per_mode,reward_gen_calls,stop_reason,pool_limited,total_modes_run,total_reactions_run,wall_s
best_candidate,4.5,0.7,110,299,2.7182,0,reactions,False,111,302,2.28
hub_batching,4.5,0.75,279,300,1.0753,7086,reactions,False,279,300,0.09
best_candidate,4.5,0.75,118,300,2.5424,0,reactions,False,118,300,1.95
hub_batching,4.5,0.8,279,300,1.0753,7086,reactions,False,279,300,0.09
best_candidate,4.5,0.8,120,298,2.4833,0,reactions,False,121,301,1.74
hub_batching,4.5,0.85,279,300,1.0753,7086,reactions,False,279,300,0.09
best_candidate,4.5,0.85,119,299,2.5126,0,reactions,False,120,302,1.53
hub_batching,4.5,0.9,279,300,1.0753,7086,reactions,False,279,300,0.09
best_candidate,4.5,0.9,119,299,2.5126,0,reactions,False,120,302,1.44
hub_batching,4.75,0.3,187,299,1.5989,619715,reactions,False,188,301,3.66
best_candidate,4.75,0.3,81,300,3.7037,0,reactions,False,81,300,0.5
hub_batching,4.75,0.35,224,299,1.3348,297934,reactions,False,225,301,1.0
best_candidate,4.75,0.35,81,297,3.6667,0,reactions,False,82,301,1.18
hub_batching,4.75,0.4,257,300,1.1673,142093,reactions,False,257,300,0.45
best_candidate,4.75,0.4,86,299,3.4767,0,reactions,False,87,303,2.97
hub_batching,4.75,0.45,265,300,1.1321,62434,reactions,False,265,300,0.27
best_candidate,4.75,0.45,89,299,3.3596,0,reactions,False,90,301,5.84
hub_batching,4.75,0.5,274,300,1.0949,43219,reactions,False,274,300,0.2
best_candidate,4.75,0.5,95,297,3.1263,0,reactions,False,96,301,5.54
hub_batching,4.75,0.55,277,300,1.083,28491,reactions,False,277,300,0.15
best_candidate,4.75,0.55,97,299,3.0825,0,reactions,False,98,302,4.41
hub_batching,4.75,0.6,277,300,1.083,19063,reactions,False,277,300,0.12
best_candidate,4.75,0.6,105,300,2.8571,0,reactions,False,105,300,3.39
hub_batching,4.75,0.65,278,300,1.0791,9635,reactions,False,278,300,0.1
best_candidate,4.75,0.65,108,300,2.7778,0,reactions,False,108,300,2.73
hub_batching,4.75,0.7,279,300,1.0753,7086,reactions,False,279,300,0.09
best_candidate,4.75,0.7,110,299,2.7182,0,reactions,False,111,302,2.25
hub_batching,4.75,0.75,279,300,1.0753,7086,reactions,False,279,300,0.09
best_candidate,4.75,0.75,118,300,2.5424,0,reactions,False,118,300,1.95
hub_batching,4.75,0.8,279,300,1.0753,7086,reactions,False,279,300,0.09
best_candidate,4.75,0.8,120,298,2.4833,0,reactions,False,121,301,1.72
hub_batching,4.75,0.85,279,300,1.0753,7086,reactions,False,279,300,0.09
best_candidate,4.75,0.85,119,299,2.5126,0,reactions,False,120,302,1.51
hub_batching,4.75,0.9,279,300,1.0753,7086,reactions,False,279,300,0.09
best_candidate,4.75,0.9,119,299,2.5126,0,reactions,False,120,302,1.44
hub_batching,5.0,0.3,182,300,1.6484,629563,reactions,False,182,300,2.09
best_candidate,5.0,0.3,81,300,3.7037,0,reactions,False,81,300,0.5
hub_batching,5.0,0.35,219,299,1.3653,322737,reactions,False,220,301,1.02
best_candidate,5.0,0.35,81,297,3.6667,0,reactions,False,82,301,1.2
hub_batching,5.0,0.4,255,300,1.1765,151521,reactions,False,255,300,0.46
best_candidate,5.0,0.4,86,299,3.4767,0,reactions,False,87,303,2.98
hub_batching,5.0,0.45,262,299,1.1412,74620,reactions,False,263,301,0.3
best_candidate,5.0,0.45,89,299,3.3596,0,reactions,False,90,301,5.83
hub_batching,5.0,0.5,272,300,1.1029,52865,reactions,False,272,300,0.22
best_candidate,5.0,0.5,95,297,3.1263,0,reactions,False,96,301,5.53
hub_batching,5.0,0.55,277,300,1.083,28491,reactions,False,277,300,0.14
best_candidate,5.0,0.55,97,299,3.0825,0,reactions,False,98,302,4.45
hub_batching,5.0,0.6,277,300,1.083,19063,reactions,False,277,300,0.12
best_candidate,5.0,0.6,105,300,2.8571,0,reactions,False,105,300,3.4
hub_batching,5.0,0.65,277,300,1.083,19063,reactions,False,277,300,0.11
best_candidate,5.0,0.65,108,300,2.7778,0,reactions,False,108,300,2.74
hub_batching,5.0,0.7,279,300,1.0753,7086,reactions,False,279,300,0.09
best_candidate,5.0,0.7,110,299,2.7182,0,reactions,False,111,302,2.29
hub_batching,5.0,0.75,279,300,1.0753,7086,reactions,False,279,300,0.09
best_candidate,5.0,0.75,118,300,2.5424,0,reactions,False,118,300,1.94
hub_batching,5.0,0.8,279,300,1.0753,7086,reactions,False,279,300,0.09
best_candidate,5.0,0.8,120,298,2.4833,0,reactions,False,121,301,1.73
hub_batching,5.0,0.85,279,300,1.0753,7086,reactions,False,279,300,0.09
best_candidate,5.0,0.85,119,299,2.5126,0,reactions,False,120,302,1.54
hub_batching,5.0,0.9,279,300,1.0753,7086,reactions,False,279,300,0.09
best_candidate,5.0,0.9,119,299,2.5126,0,reactions,False,120,302,1.45
hub_batching,5.25,0.3,179,299,1.6704,666886,reactions,False,180,301,2.73
best_candidate,5.25,0.3,81,300,3.7037,0,reactions,False,81,300,0.5
hub_batching,5.25,0.35,218,300,1.3761,340320,reactions,False,218,300,0.96
best_candidate,5.25,0.35,81,297,3.6667,0,reactions,False,82,301,1.16
hub_batching,5.25,0.4,252,300,1.1905,172323,reactions,False,252,300,0.49
best_candidate,5.25,0.4,86,299,3.4767,0,reactions,False,87,303,2.97
hub_batching,5.25,0.45,259,300,1.1583,92304,reactions,False,259,300,0.33
best_candidate,5.25,0.45,89,299,3.3596,0,reactions,False,90,301,5.82
hub_batching,5.25,0.5,272,300,1.1029,52865,reactions,False,272,300,0.21
best_candidate,5.25,0.5,95,297,3.1263,0,reactions,False,96,301,5.55
hub_batching,5.25,0.55,275,300,1.0909,29816,reactions,False,275,300,0.16
best_candidate,5.25,0.55,97,299,3.0825,0,reactions,False,98,302,4.42
hub_batching,5.25,0.6,277,300,1.083,19063,reactions,False,277,300,0.12
best_candidate,5.25,0.6,105,300,2.8571,0,reactions,False,105,300,3.35
hub_batching,5.25,0.65,277,300,1.083,19063,reactions,False,277,300,0.12
best_candidate,5.25,0.65,108,300,2.7778,0,reactions,False,108,300,2.68
hub_batching,5.25,0.7,278,300,1.0791,9635,reactions,False,278,300,0.09
best_candidate,5.25,0.7,110,299,2.7182,0,reactions,False,111,302,2.22
hub_batching,5.25,0.75,279,300,1.0753,7086,reactions,False,279,300,0.09
best_candidate,5.25,0.75,118,300,2.5424,0,reactions,False,118,300,1.93
hub_batching,5.25,0.8,279,300,1.0753,7086,reactions,False,279,300,0.09
best_candidate,5.25,0.8,120,298,2.4833,0,reactions,False,121,301,1.71
hub_batching,5.25,0.85,279,300,1.0753,7086,reactions,False,279,300,0.09
best_candidate,5.25,0.85,119,299,2.5126,0,reactions,False,120,302,1.48
hub_batching,5.25,0.9,279,300,1.0753,7086,reactions,False,279,300,0.09
best_candidate,5.25,0.9,119,299,2.5126,0,reactions,False,120,302,1.39
hub_batching,5.5,0.3,173,299,1.7283,681638,reactions,False,174,302,2.32
best_candidate,5.5,0.3,81,300,3.7037,0,reactions,False,81,300,0.48
hub_batching,5.5,0.35,213,300,1.4085,379162,reactions,False,213,300,0.98
best_candidate,5.5,0.35,81,297,3.6667,0,reactions,False,82,301,1.09
hub_batching,5.5,0.4,249,300,1.2048,189108,reactions,False,249,300,0.5
best_candidate,5.5,0.4,86,299,3.4767,0,reactions,False,87,303,2.75
hub_batching,5.5,0.45,259,300,1.1583,92304,reactions,False,259,300,0.3
best_candidate,5.5,0.45,89,299,3.3596,0,reactions,False,90,301,5.42
hub_batching,5.5,0.5,269,300,1.1152,56460,reactions,False,269,300,0.21
best_candidate,5.5,0.5,95,297,3.1263,0,reactions,False,96,301,5.32
hub_batching,5.5,0.55,275,300,1.0909,39244,reactions,False,275,300,0.17
best_candidate,5.5,0.55,97,299,3.0825,0,reactions,False,98,302,4.22
hub_batching,5.5,0.6,277,300,1.083,28491,reactions,False,277,300,0.13
best_candidate,5.5,0.6,105,300,2.8571,0,reactions,False,105,300,3.24
hub_batching,5.5,0.65,277,300,1.083,19063,reactions,False,277,300,0.11
best_candidate,5.5,0.65,108,300,2.7778,0,reactions,False,108,300,2.62
hub_batching,5.5,0.7,278,300,1.0791,9635,reactions,False,278,300,0.09
best_candidate,5.5,0.7,110,299,2.7182,0,reactions,False,111,302,2.17
hub_batching,5.5,0.75,279,300,1.0753,7086,reactions,False,279,300,0.09
best_candidate,5.5,0.75,118,300,2.5424,0,reactions,False,118,300,1.87
hub_batching,5.5,0.8,279,300,1.0753,7086,reactions,False,279,300,0.09
best_candidate,5.5,0.8,120,298,2.4833,0,reactions,False,121,301,1.66
hub_batching,5.5,0.85,279,300,1.0753,7086,reactions,False,279,300,0.09
best_candidate,5.5,0.85,119,299,2.5126,0,reactions,False,120,302,1.48
hub_batching,5.5,0.9,279,300,1.0753,7086,reactions,False,279,300,0.09
best_candidate,5.5,0.9,119,299,2.5126,0,reactions,False,120,302,1.38
hub_batching,5.75,0.3,167,300,1.7964,692485,reactions,False,167,300,2.67
best_candidate,5.75,0.3,81,300,3.7037,0,reactions,False,81,300,0.45
hub_batching,5.75,0.35,205,300,1.4634,396579,reactions,False,205,300,0.98
best_candidate,5.75,0.35,81,297,3.6667,0,reactions,False,82,301,1.04
hub_batching,5.75,0.4,248,300,1.2097,196247,reactions,False,248,300,0.48
best_candidate,5.75,0.4,86,299,3.4767,0,reactions,False,87,303,2.65
hub_batching,5.75,0.45,257,300,1.1673,109058,reactions,False,257,300,0.31
best_candidate,5.75,0.45,89,299,3.3596,0,reactions,False,90,301,5.33
hub_batching,5.75,0.5,268,300,1.1194,58768,reactions,False,268,300,0.21
best_candidate,5.75,0.5,95,297,3.1263,0,reactions,False,96,301,5.27
hub_batching,5.75,0.55,274,300,1.0949,43219,reactions,False,274,300,0.18
best_candidate,5.75,0.55,97,299,3.0825,0,reactions,False,98,302,4.19
hub_batching,5.75,0.6,277,300,1.083,28491,reactions,False,277,300,0.13
best_candidate,5.75,0.6,105,300,2.8571,0,reactions,False,105,300,3.23
hub_batching,5.75,0.65,277,300,1.083,19063,reactions,False,277,300,0.11
best_candidate,5.75,0.65,108,300,2.7778,0,reactions,False,108,300,2.6
hub_batching,5.75,0.7,277,300,1.083,19063,reactions,False,277,300,0.11
best_candidate,5.75,0.7,110,299,2.7182,0,reactions,False,111,302,2.17
hub_batching,5.75,0.75,278,300,1.0791,9635,reactions,False,278,300,0.09
best_candidate,5.75,0.75,118,300,2.5424,0,reactions,False,118,300,1.87
hub_batching,5.75,0.8,279,300,1.0753,7086,reactions,False,279,300,0.09
best_candidate,5.75,0.8,120,298,2.4833,0,reactions,False,121,301,1.66
hub_batching,5.75,0.85,279,300,1.0753,7086,reactions,False,279,300,0.09
best_candidate,5.75,0.85,119,299,2.5126,0,reactions,False,120,302,1.46
hub_batching,5.75,0.9,279,300,1.0753,7086,reactions,False,279,300,0.09
best_candidate,5.75,0.9,119,299,2.5126,0,reactions,False,120,302,1.38
hub_batching,6.0,0.3,162,299,1.8457,730807,reactions,False,163,302,2.85
best_candidate,6.0,0.3,81,300,3.7037,0,reactions,False,81,300,0.43
hub_batching,6.0,0.35,201,300,1.4925,407799,reactions,False,201,300,0.94
best_candidate,6.0,0.35,81,297,3.6667,0,reactions,False,82,301,0.99
hub_batching,6.0,0.4,244,300,1.2295,227861,reactions,False,244,300,0.51
best_candidate,6.0,0.4,86,299,3.4767,0,reactions,False,87,303,2.56
hub_batching,6.0,0.45,257,300,1.1673,111536,reactions,False,257,300,0.31
best_candidate,6.0,0.45,89,299,3.3596,0,reactions,False,90,301,5.17
hub_batching,6.0,0.5,265,300,1.1321,62434,reactions,False,265,300,0.21
best_candidate,6.0,0.5,95,297,3.1263,0,reactions,False,96,301,5.26
hub_batching,6.0,0.55,272,300,1.1029,52865,reactions,False,272,300,0.19
best_candidate,6.0,0.55,97,299,3.0825,0,reactions,False,98,302,4.22
hub_batching,6.0,0.6,275,300,1.0909,39244,reactions,False,275,300,0.16
best_candidate,6.0,0.6,105,300,2.8571,0,reactions,False,105,300,3.23
hub_batching,6.0,0.65,277,300,1.083,28491,reactions,False,277,300,0.13
best_candidate,6.0,0.65,108,300,2.7778,0,reactions,False,108,300,2.6
hub_batching,6.0,0.7,277,300,1.083,19063,reactions,False,277,300,0.11
best_candidate,6.0,0.7,110,299,2.7182,0,reactions,False,111,302,2.16
hub_batching,6.0,0.75,277,300,1.083,19063,reactions,False,277,300,0.11
best_candidate,6.0,0.75,118,300,2.5424,0,reactions,False,118,300,1.86
hub_batching,6.0,0.8,278,300,1.0791,9635,reactions,False,278,300,0.09
best_candidate,6.0,0.8,120,298,2.4833,0,reactions,False,121,301,1.66
hub_batching,6.0,0.85,278,300,1.0791,9635,reactions,False,278,300,0.09
best_candidate,6.0,0.85,119,299,2.5126,0,reactions,False,120,302,1.46
hub_batching,6.0,0.9,278,300,1.0791,9635,reactions,False,278,300,0.09
best_candidate,6.0,0.9,119,299,2.5126,0,reactions,False,120,302,1.38
hub_batching,6.25,0.3,156,300,1.9231,777005,reactions,False,156,300,3.14
best_candidate,6.25,0.3,81,300,3.7037,0,reactions,False,81,300,0.42
hub_batching,6.25,0.35,193,299,1.5492,418096,reactions,False,194,302,0.91
best_candidate,6.25,0.35,81,297,3.6667,0,reactions,False,82,301,0.92
hub_batching,6.25,0.4,237,300,1.2658,243466,reactions,False,237,300,0.51
best_candidate,6.25,0.4,86,299,3.4767,0,reactions,False,87,303,2.37
hub_batching,6.25,0.45,254,300,1.1811,127557,reactions,False,254,300,0.32
best_candidate,6.25,0.45,89,299,3.3596,0,reactions,False,90,301,4.9
hub_batching,6.25,0.5,262,300,1.145,74620,reactions,False,262,300,0.23
best_candidate,6.25,0.5,95,297,3.1263,0,reactions,False,96,301,5.27
hub_batching,6.25,0.55,270,300,1.1111,55343,reactions,False,270,300,0.19
best_candidate,6.25,0.55,97,299,3.0825,0,reactions,False,98,302,4.19
hub_batching,6.25,0.6,273,300,1.0989,43219,reactions,False,273,300,0.17
best_candidate,6.25,0.6,105,300,2.8571,0,reactions,False,105,300,3.23
hub_batching,6.25,0.65,275,300,1.0909,29816,reactions,False,275,300,0.14
best_candidate,6.25,0.65,108,300,2.7778,0,reactions,False,108,300,2.6
hub_batching,6.25,0.7,277,300,1.083,19063,reactions,False,277,300,0.11
best_candidate,6.25,0.7,110,299,2.7182,0,reactions,False,111,302,2.16
hub_batching,6.25,0.75,277,300,1.083,19063,reactions,False,277,300,0.11
best_candidate,6.25,0.75,118,300,2.5424,0,reactions,False,118,300,1.85
hub_batching,6.25,0.8,277,300,1.083,19063,reactions,False,277,300,0.11
best_candidate,6.25,0.8,120,298,2.4833,0,reactions,False,121,301,1.65
hub_batching,6.25,0.85,277,300,1.083,19063,reactions,False,277,300,0.11
best_candidate,6.25,0.85,119,299,2.5126,0,reactions,False,120,302,1.45
hub_batching,6.25,0.9,277,300,1.083,19063,reactions,False,277,300,0.11
best_candidate,6.25,0.9,119,299,2.5126,0,reactions,False,120,302,1.38
hub_batching,6.5,0.3,145,287,1.9793,826502,pool_exhausted,True,145,287,2.92
best_candidate,6.5,0.3,81,300,3.7037,0,reactions,False,81,300,0.38
hub_batching,6.5,0.35,182,299,1.6429,475723,reactions,False,183,302,0.98
best_candidate,6.5,0.35,81,297,3.6667,0,reactions,False,82,301,0.82
hub_batching,6.5,0.4,227,300,1.3216,276886,reactions,False,227,300,0.56
best_candidate,6.5,0.4,86,299,3.4767,0,reactions,False,87,303,2.13
hub_batching,6.5,0.45,250,300,1.2,158660,reactions,False,250,300,0.36
