named_reaction,n_molecules,n_class_a_subgroups,largest_class_a,mean_class_a,cell,arm,slice
Sonogashira coupling,1,1,1,1.0,scent_seh_seed43_par50,hub_batching_par50,at100rxn
Benzoxazole formation,1,1,1,1.0,scent_seh_seed43_par50,hub_batching_par50,at100rxn
Esterification,1,1,1,1.0,scent_seh_seed43_par50,hub_batching_par50,at100rxn
Buchwald-Hartwig amination,101,6,31,16.83,scent_seh_seed43_par50,hub_batching_par50,full
Amide coupling,55,6,31,9.17,scent_seh_seed43_par50,hub_batching_par50,full
Urea formation (amine + amine),48,6,9,8.0,scent_seh_seed43_par50,hub_batching_par50,full
Direct acid -> amine (reductive),38,6,26,6.33,scent_seh_seed43_par50,hub_batching_par50,full
Reductive amination (aldehyde),28,5,19,5.6,scent_seh_seed43_par50,hub_batching_par50,full
Suzuki coupling,8,3,3,2.67,scent_seh_seed43_par50,hub_batching_par50,full
N-alkylation (azole N-H + alkyl halide),5,1,5,5.0,scent_seh_seed43_par50,hub_batching_par50,full
Reductive amination (ketone),5,1,5,5.0,scent_seh_seed43_par50,hub_batching_par50,full
Sonogashira coupling,3,3,1,1.0,scent_seh_seed43_par50,hub_batching_par50,full
Benzimidazole formation,3,2,2,1.5,scent_seh_seed43_par50,hub_batching_par50,full
Benzoxazole formation,2,2,1,1.0,scent_seh_seed43_par50,hub_batching_par50,full
SNAr (activated aryl fluoride + amine),2,1,2,2.0,scent_seh_seed43_par50,hub_batching_par50,full
Esterification,1,1,1,1.0,scent_seh_seed43_par50,hub_batching_par50,full
Williamson ether synthesis,1,1,1,1.0,scent_seh_seed43_par50,hub_batching_par50,full
