strategy,n_modes,n_native_routes,native_route_coverage,count_once_reactions,sparrow_reactions,sparrow_priced_modes,abs_diff,rel_diff,sparrow_milp_status,sparrow_n_reaction_nodes,sparrow_n_shared_compounds
best_candidate,100,100,1.0,369,336,100,33,0.0894,Optimal,336,53
hub_batching,100,100,1.0,284,106,100,178,0.6268,Optimal,106,11
