strategy,setup_s,hub_pick_s,enumeration_s,reward_gen_s,flow_extract_s,unattributed_s,mode_selection_s,total_s,n_hubs_walked,n_children_scored
hub_batching,0.533,0.132,76.0306,153.8635,5842.2941,0.0,7.0847,6079.9379,52,49668
best_candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.0863,0.0863,0,0
