class,n_modes,n_wells,mols_per_well,n_groups,n_singletons,largest_group,largest_group_wells,median_group,mean_group,gini_group,largest_group_share,n_groups_ge2,mols_in_groups_ge2,frac_in_groups_ge2,n_wellgroups_ge2,frac_wells_in_groups_ge2,n_groups_ge4,mols_in_groups_ge4,frac_in_groups_ge4,n_wellgroups_ge4,frac_wells_in_groups_ge4,n_groups_ge8,mols_in_groups_ge8,frac_in_groups_ge8,n_wellgroups_ge8,frac_wells_in_groups_ge8,n_groups_ge10,mols_in_groups_ge10,frac_in_groups_ge10,n_wellgroups_ge10,frac_wells_in_groups_ge10,n_groups_ge24,mols_in_groups_ge24,frac_in_groups_ge24,n_wellgroups_ge24,frac_wells_in_groups_ge24,n_groups_ge96,mols_in_groups_ge96,frac_in_groups_ge96,n_wellgroups_ge96,frac_wells_in_groups_ge96,cell,arm,slice,n_parents,batch_median,batch_max,batch_gini,reactions_used
A,80,80,1.0,10,4,27,27,2.5,8.0,0.597,0.338,6,76,0.95,6,0.95,4,71,0.887,4,0.887,4,71,0.887,4,0.887,2,54,0.675,2,0.675,2,54,0.675,2,0.675,0,0,0.0,0,0.0,scent_seh_seed44,hub_batching,at100rxn,1,80,80,0.0,100
B,80,80,1.0,10,4,27,27,2.5,8.0,0.597,0.338,6,76,0.95,6,0.95,4,71,0.887,4,0.887,4,71,0.887,4,0.887,2,54,0.675,2,0.675,2,54,0.675,2,0.675,0,0,0.0,0,0.0,scent_seh_seed44,hub_batching,at100rxn,1,80,80,0.0,100
A,300,299,1.003,58,11,31,31,3.0,5.172,0.503,0.103,47,289,0.963,47,0.963,23,231,0.77,23,0.769,14,186,0.62,14,0.619,9,145,0.483,9,0.482,2,60,0.2,2,0.201,0,0,0.0,0,0.0,scent_seh_seed44,hub_batching,full,8,35.5,88,0.311,328
B,300,299,1.003,18,2,65,64,9.5,16.667,0.566,0.217,16,298,0.993,16,0.993,12,289,0.963,12,0.963,11,282,0.94,11,0.94,9,264,0.88,9,0.88,4,200,0.667,4,0.666,0,0,0.0,0,0.0,scent_seh_seed44,hub_batching,full,8,35.5,88,0.311,328
A,27,27,1.0,27,27,1,1,1,1.0,0.0,0.037,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,scent_seh_seed44,best_candidate,at100rxn,27,1,1,0.0,99
B,27,27,1.0,8,2,9,9,3.0,3.375,0.356,0.333,6,25,0.926,6,0.926,3,17,0.63,3,0.63,1,9,0.333,1,0.333,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,scent_seh_seed44,best_candidate,at100rxn,27,1,1,0.0,99
A,300,300,1.0,287,274,2,2,1,1.045,0.041,0.007,13,26,0.087,13,0.087,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,scent_seh_seed44,best_candidate,full,280,1.0,3,0.063,971
B,300,300,1.0,17,0,57,57,11,17.647,0.512,0.19,17,300,1.0,17,1.0,13,291,0.97,13,0.97,12,287,0.957,12,0.957,9,261,0.87,9,0.87,4,188,0.627,4,0.627,0,0,0.0,0,0.0,scent_seh_seed44,best_candidate,full,280,1.0,3,0.063,971
