template_id,line,yield,named_reaction,smarts
66,34,0.8,?,"[#6&!$(C=[O,N]):10][Nh:1]([#6&!$(C=[O,N]):20]).[#6:2]=[#6:3]-[C:4]#[N:8] >> [#6&!$(C=[O,N]):10][N:1]([#6&!$(C=[O,N]):20])-[#6:2]-[#6:3]-[C:4]#[N:8]"
67,34,0.8,?,"[#6&!$(C=[O,N]):10][Nh:1]([#6&!$(C=[O,N]):20]).[#6:2]=[#6:3]-[C:4]#[N:8] >> [#6&!$(C=[O,N]):10][N:1]([#6&!$(C=[O,N]):20])-[#6:2]-[#6:3]-[C:4]#[N:8]"
68,35,0.8,Reductive amination (aldehyde),"[#6&!$(C=[O,N]):10][Nh2:1].[Ch:2]([#6:3])=[O] >> [#6&!$(C=[O,N]):10][Nh:1]-[Ch:2]-[#6:3]"
69,35,0.8,Reductive amination (aldehyde),"[#6&!$(C=[O,N]):10][Nh2:1].[Ch:2]([#6:3])=[O] >> [#6&!$(C=[O,N]):10][Nh:1]-[Ch:2]-[#6:3]"
70,36,0.75,Reductive amination (aldehyde),"[#6&!$(C=[O,N]):10]-[Nh:1](-[#6&!$(C=[O,N]):20]).[Ch:2]([#6:3])=[O] >> [#6&!$(C=[O,N]):10]-[N:1](-[#6&!$(C=[O,N]):20])-[Ch:2]-[#6:3]"
71,36,0.75,Reductive amination (aldehyde),"[#6&!$(C=[O,N]):10]-[Nh:1](-[#6&!$(C=[O,N]):20]).[Ch:2]([#6:3])=[O] >> [#6&!$(C=[O,N]):10]-[N:1](-[#6&!$(C=[O,N]):20])-[Ch:2]-[#6:3]"
72,37,0.75,Reductive amination (ketone),"[#6&!$(C=[O,N]):10][Nh2:1].[#6:3][C:2]([#6:4])=[O] >> [#6&!$(C=[O,N]):10][N:1]-[C:2]([#6:3])[#6:4]"
73,37,0.75,Reductive amination (ketone),"[#6&!$(C=[O,N]):10][Nh2:1].[#6:3][C:2]([#6:4])=[O] >> [#6&!$(C=[O,N]):10][N:1]-[C:2]([#6:3])[#6:4]"
74,38,0.75,Reductive amination (ketone),"[#6&!$(C=[O,N]):10][Nh:1]([#6&!$(C=[O,N]):20]).[#6:3][C:2]([#6:4])=[O] >> [#6&!$(C=[O,N]):10][N:1]([#6&!$(C=[O,N]):20])-[#6:2]([C:3])[#6:4]"
75,38,0.75,Reductive amination (ketone),"[#6&!$(C=[O,N]):10][Nh:1]([#6&!$(C=[O,N]):20]).[#6:3][C:2]([#6:4])=[O] >> [#6&!$(C=[O,N]):10][N:1]([#6&!$(C=[O,N]):20])-[#6:2]([C:3])[#6:4]"
76,39,0.75,Amide coupling,"[C:3](=[O:4])-[Oh].[Nh2:5]-[#6&!$(C=[O,N]):10] >> [C:3](=[O:4])-[Nh:5]-[#6&!$(C=[O,N]):10]"
77,39,0.75,Amide coupling,"[C:3](=[O:4])-[Oh].[Nh2:5]-[#6&!$(C=[O,N]):10] >> [C:3](=[O:4])-[Nh:5]-[#6&!$(C=[O,N]):10]"
78,40,0.75,Amide coupling,"[C:3](=[O:4])-[Oh].[#6&!$(C=[O,N]):20]-[Nh:5]-[#6&!$(C=[O,N]):10] >> [C:3](=[O:4])-[N:5](-[#6&!$(C=[O,N]):20])-[#6&!$(C=[O,N]):10]"
79,40,0.75,Amide coupling,"[C:3](=[O:4])-[Oh].[#6&!$(C=[O,N]):20]-[Nh:5]-[#6&!$(C=[O,N]):10] >> [C:3](=[O:4])-[N:5](-[#6&!$(C=[O,N]):20])-[#6&!$(C=[O,N]):10]"
80,41,0.95,Urea formation (isocyanate + amine),"[#6&!$(C=[O,N]):6]-[Nh2:1].[#6:5]-[N:2]=[C:3]=[O:4] >> [Nh:1](-[#6&!$(C=[O,N]):6])-[C:3](=[O:4])-[N:2]-[#6:5]"
81,41,0.95,Urea formation (isocyanate + amine),"[#6&!$(C=[O,N]):6]-[Nh2:1].[#6:5]-[N:2]=[C:3]=[O:4] >> [Nh:1](-[#6&!$(C=[O,N]):6])-[C:3](=[O:4])-[N:2]-[#6:5]"
82,42,0.95,Urea formation (isocyanate + amine),"[#6&!$(C=[O,N]):6]-[Nh:1]-[#6&!$(C=[O,N]):7].[#6:5]-[N:2]=[C:3]=[O:4] >> [#6&!$(C=[O,N]):7]-[N:1](-[#6&!$(C=[O,N]):6])-[C:3](=[O:4])-[N:2]-[#6:5]"
83,42,0.95,Urea formation (isocyanate + amine),"[#6&!$(C=[O,N]):6]-[Nh:1]-[#6&!$(C=[O,N]):7].[#6:5]-[N:2]=[C:3]=[O:4] >> [#6&!$(C=[O,N]):7]-[N:1](-[#6&!$(C=[O,N]):6])-[C:3](=[O:4])-[N:2]-[#6:5]"
84,43,0.75,Suzuki coupling,[c:1]-[B]([Oh])([Oh]).[c:2]-[I] >> [c:1]-[c:2]
85,43,0.75,Suzuki coupling,[c:1]-[B]([Oh])([Oh]).[c:2]-[I] >> [c:1]-[c:2]
86,44,0.75,Suzuki coupling,[c:1]-[B]([Oh])([Oh]).[c:2]-[Br] >> [c:1]-[c:2]
87,44,0.75,Suzuki coupling,[c:1]-[B]([Oh])([Oh]).[c:2]-[Br] >> [c:1]-[c:2]
88,45,0.75,Suzuki coupling (pinacol boronate),[c:1](B1OC(C)(C)C(C)(C)O1).[c:2]-[I] >> [c:1]-[c:2]
89,45,0.75,Suzuki coupling (pinacol boronate),[c:1](B1OC(C)(C)C(C)(C)O1).[c:2]-[I] >> [c:1]-[c:2]
90,46,0.75,Suzuki coupling (pinacol boronate),[c:1](B1OC(C)(C)C(C)(C)O1).[c:2]-[Br] >> [c:1]-[c:2]
91,46,0.75,Suzuki coupling (pinacol boronate),[c:1](B1OC(C)(C)C(C)(C)O1).[c:2]-[Br] >> [c:1]-[c:2]
92,47,0.95,Triazole formation (alkyne + alkyl halide),[#6:1]-[C:2]#[Ch:3].[#6:4]-[Ch2:5]-[Br] >> [#6:1]-[c:2]1[c:3][n](-[C:5]-[#6:4])[n-0][n+0]1
93,47,0.95,Triazole formation (alkyne + alkyl halide),[#6:1]-[C:2]#[Ch:3].[#6:4]-[Ch2:5]-[Br] >> [#6:1]-[c:2]1[c:3][n](-[C:5]-[#6:4])[n-0][n+0]1
94,48,0.95,Triazole formation (alkyne + alkyl halide),[#6:1]-[C:2]#[Ch:3].[#6:4]-[Ch2:5]-[Br] >> [c:3]1[c:2](-[#6:1])[n](-[C:5]-[#6:4])[n-0][n+0]1
95,48,0.95,Triazole formation (alkyne + alkyl halide),[#6:1]-[C:2]#[Ch:3].[#6:4]-[Ch2:5]-[Br] >> [c:3]1[c:2](-[#6:1])[n](-[C:5]-[#6:4])[n-0][n+0]1
96,49,0.7,Tetrazole formation (nitrile + alkyl halide),[#6:1]-[C:2]#[N:3].[#6:4]-[Ch2:5]-[Br] >> [#6:1]-[c:2]1[n:3][n](-[C:5]-[#6:4])[n-0][n+0]1
97,49,0.7,Tetrazole formation (nitrile + alkyl halide),[#6:1]-[C:2]#[N:3].[#6:4]-[Ch2:5]-[Br] >> [#6:1]-[c:2]1[n:3][n](-[C:5]-[#6:4])[n-0][n+0]1
98,50,0.7,Tetrazole formation (nitrile + alkyl halide),[#6:1]-[C:2]#[N:3].[#6:4]-[Ch2:5]-[Br] >> [#6:1]-[c:2]1[n:3][n+0][n-0][n](-[C:5]-[#6:4])1
99,50,0.7,Tetrazole formation (nitrile + alkyl halide),[#6:1]-[C:2]#[N:3].[#6:4]-[Ch2:5]-[Br] >> [#6:1]-[c:2]1[n:3][n+0][n-0][n](-[C:5]-[#6:4])1
100,51,0.95,Triazole formation (alkyne + alkyl halide),[#6:1]-[C:2]#[Ch:3].[#6:4]-[Ch2:5]-[Cl] >> [#6:1]-[c:2]1[c:3][n](-[C:5]-[#6:4])[n-0][n+0]1
101,51,0.95,Triazole formation (alkyne + alkyl halide),[#6:1]-[C:2]#[Ch:3].[#6:4]-[Ch2:5]-[Cl] >> [#6:1]-[c:2]1[c:3][n](-[C:5]-[#6:4])[n-0][n+0]1
102,52,0.95,Triazole formation (alkyne + alkyl halide),[#6:1]-[C:2]#[Ch:3].[#6:4]-[Ch2:5]-[Cl] >> [c:3]1[c:2](-[#6:1])[n](-[C:5]-[#6:4])[n-0][n+0]1
103,52,0.95,Triazole formation (alkyne + alkyl halide),[#6:1]-[C:2]#[Ch:3].[#6:4]-[Ch2:5]-[Cl] >> [c:3]1[c:2](-[#6:1])[n](-[C:5]-[#6:4])[n-0][n+0]1
104,53,0.7,Tetrazole formation (nitrile + alkyl halide),[#6:1]-[C:2]#[N:3].[#6:4]-[Ch2:5]-[Cl] >> [#6:1]-[c:2]1[n:3][n](-[C:5]-[#6:4])[n-0][n+0]1
105,53,0.7,Tetrazole formation (nitrile + alkyl halide),[#6:1]-[C:2]#[N:3].[#6:4]-[Ch2:5]-[Cl] >> [#6:1]-[c:2]1[n:3][n](-[C:5]-[#6:4])[n-0][n+0]1
106,54,0.7,Tetrazole formation (nitrile + alkyl halide),[#6:1]-[C:2]#[N:3].[#6:4]-[Ch2:5]-[Cl] >> [#6:1]-[c:2]1[n:3][n+0][n-0][n](-[C:5]-[#6:4])1
107,54,0.7,Tetrazole formation (nitrile + alkyl halide),[#6:1]-[C:2]#[N:3].[#6:4]-[Ch2:5]-[Cl] >> [#6:1]-[c:2]1[n:3][n+0][n-0][n](-[C:5]-[#6:4])1
108,55,0.8,Buchwald-Hartwig amination,"[#6&!$(C=[O,N]):3]-[Nh2:1].[c:2]-[I] >> [#6&!$(C=[O,N]):3]-[Nh:1]-[c:2]"
109,55,0.8,Buchwald-Hartwig amination,"[#6&!$(C=[O,N]):3]-[Nh2:1].[c:2]-[I] >> [#6&!$(C=[O,N]):3]-[Nh:1]-[c:2]"
110,56,0.8,Buchwald-Hartwig amination,"[#6&!$(C=[O,N]):3]-[Nh:1]-[#6&!$(C=[O,N]):4].[c:2]-[I] >> [#6&!$(C=[O,N]):3]-[N:1](-[#6&!$(C=[O,N]):4])-[c:2]"
111,56,0.8,Buchwald-Hartwig amination,"[#6&!$(C=[O,N]):3]-[Nh:1]-[#6&!$(C=[O,N]):4].[c:2]-[I] >> [#6&!$(C=[O,N]):3]-[N:1](-[#6&!$(C=[O,N]):4])-[c:2]"
112,57,0.8,Buchwald-Hartwig amination,"[#6&!$(C=[O,N]):3]-[Nh2:1].[c:2]-[Br] >> [#6&!$(C=[O,N]):3]-[Nh:1]-[c:2]"
113,57,0.8,Buchwald-Hartwig amination,"[#6&!$(C=[O,N]):3]-[Nh2:1].[c:2]-[Br] >> [#6&!$(C=[O,N]):3]-[Nh:1]-[c:2]"
114,58,0.8,Buchwald-Hartwig amination,"[#6&!$(C=[O,N]):3]-[Nh:1]-[#6&!$(C=[O,N]):4].[c:2]-[Br] >> [#6&!$(C=[O,N]):3]-[N:1](-[#6&!$(C=[O,N]):4])-[c:2]"
115,58,0.8,Buchwald-Hartwig amination,"[#6&!$(C=[O,N]):3]-[Nh:1]-[#6&!$(C=[O,N]):4].[c:2]-[Br] >> [#6&!$(C=[O,N]):3]-[N:1](-[#6&!$(C=[O,N]):4])-[c:2]"
116,59,0.85,Sonogashira coupling,[Ch:4]#[Ch:5].[c:2]-[I] >> [c:2]-[C:5]#[Ch:4]
117,59,0.85,Sonogashira coupling,[Ch:4]#[Ch:5].[c:2]-[I] >> [c:2]-[C:5]#[Ch:4]
118,60,0.85,Sonogashira coupling,[*:3]-[C:4]#[Ch:5].[c:2]-[I] >> [c:2]-[C:5]#[C:4]-[*:3]
119,60,0.85,Sonogashira coupling,[*:3]-[C:4]#[Ch:5].[c:2]-[I] >> [c:2]-[C:5]#[C:4]-[*:3]
120,61,0.85,Sonogashira coupling,[Ch:4]#[Ch:5].[c:2]-[Br] >> [c:2]-[C:5]#[Ch:4]
121,61,0.85,Sonogashira coupling,[Ch:4]#[Ch:5].[c:2]-[Br] >> [c:2]-[C:5]#[Ch:4]
122,62,0.85,Sonogashira coupling,[*:3]-[C:4]#[Ch:5].[c:2]-[Br] >> [c:2]-[C:5]#[C:4]-[*:3]
123,62,0.85,Sonogashira coupling,[*:3]-[C:4]#[Ch:5].[c:2]-[Br] >> [c:2]-[C:5]#[C:4]-[*:3]
124,63,0.75,Urea formation (amine + amine),"[Nh2:5]-[#6&!$(C=[O,N]):20].[Nh2:6]-[#6&!$(C=[O,N]):10] >> [Nh:5](-[#6&!$(C=[O,N]):20])-[C](=O)-[Nh:6]-[#6&!$(C=[O,N]):10]"
125,63,0.75,Urea formation (amine + amine),"[Nh2:5]-[#6&!$(C=[O,N]):20].[Nh2:6]-[#6&!$(C=[O,N]):10] >> [Nh:5](-[#6&!$(C=[O,N]):20])-[C](=O)-[Nh:6]-[#6&!$(C=[O,N]):10]"
126,64,0.75,Urea formation (amine + amine),"[#6&!$(C=[O,N]):21]-[Nh:5]-[#6&!$(C=[O,N]):20].[Nh2:6]-[#6&!$(C=[O,N]):10] >> [#6&!$(C=[O,N]):21]-[N:5](-[#6&!$(C=[O,N]):20])-[C](=O)-[Nh:6]-[#6&!$(C=[O,N]):10]"
127,64,0.75,Urea formation (amine + amine),"[#6&!$(C=[O,N]):21]-[Nh:5]-[#6&!$(C=[O,N]):20].[Nh2:6]-[#6&!$(C=[O,N]):10] >> [#6&!$(C=[O,N]):21]-[N:5](-[#6&!$(C=[O,N]):20])-[C](=O)-[Nh:6]-[#6&!$(C=[O,N]):10]"
128,65,0.75,Urea formation (amine + amine),"[#6&!$(C=[O,N]):21]-[Nh:5]-[#6&!$(C=[O,N]):20].[#6&!$(C=[O,N]):11]-[Nh:6]-[#6&!$(C=[O,N]):10] >> [#6&!$(C=[O,N]):21]-[N:5](-[#6&!$(C=[O,N]):20])-[C](=O)-[N:6](-[#6&!$(C=[O,N]):11])-[#6&!$(C=[O,N]):10]"
129,65,0.75,Urea formation (amine + amine),"[#6&!$(C=[O,N]):21]-[Nh:5]-[#6&!$(C=[O,N]):20].[#6&!$(C=[O,N]):11]-[Nh:6]-[#6&!$(C=[O,N]):10] >> [#6&!$(C=[O,N]):21]-[N:5](-[#6&!$(C=[O,N]):20])-[C](=O)-[N:6](-[#6&!$(C=[O,N]):11])-[#6&!$(C=[O,N]):10]"
130,66,0.95,Esterification,[#6&!$(C=[O]):1]-[Oh:2].[C:3](=[O:4])-[Oh] >> [C:3](=[O:4])-[O:2]-[#6&!$(C=[O]):1]
131,66,0.95,Esterification,[#6&!$(C=[O]):1]-[Oh:2].[C:3](=[O:4])-[Oh] >> [C:3](=[O:4])-[O:2]-[#6&!$(C=[O]):1]
132,67,0.75,Tetrazole formation (isothiocyanate),[Ch0:1](=[O:2])[C:3]-[Nh2:4].[#6:5]-[N:6]=[C:7]=S >> [Ch0:1](=[O:2])[C:3]-[Nh:4][c:7]1nnn[n:6]([#6:5])1
133,67,0.75,Tetrazole formation (isothiocyanate),[Ch0:1](=[O:2])[C:3]-[Nh2:4].[#6:5]-[N:6]=[C:7]=S >> [Ch0:1](=[O:2])[C:3]-[Nh:4][c:7]1nnn[n:6]([#6:5])1
134,68,0.75,?,[Ch0:1](=[O:2])[C:3]-[Nh:4]-[C:5](=[O:6])-[C:7]-[Nh2:8].[c:9]-[N:10]=[C:11]=S >> [Ch0:1](=[O:2])[C:3]-[N:4]1-[C:5](=[O:6])-[C:7]-[Nh:8]-[C:11]1=[N:10]-[c:9]
135,68,0.75,?,[Ch0:1](=[O:2])[C:3]-[Nh:4]-[C:5](=[O:6])-[C:7]-[Nh2:8].[c:9]-[N:10]=[C:11]=S >> [Ch0:1](=[O:2])[C:3]-[N:4]1-[C:5](=[O:6])-[C:7]-[Nh:8]-[C:11]1=[N:10]-[c:9]
136,69,0.7,Direct acid -> amine (reductive),"[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]"
137,69,0.7,Direct acid -> amine (reductive),"[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]"
138,70,0.7,Direct acid -> amine (reductive),"[C:1](=[O])[Oh].[#6&!$(C=[O,N]):4]-[Nh:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[N:2](-[#6&!$(C=[O,N]):4])-[#6&!$(C=[O,N]):3]"
139,70,0.7,Direct acid -> amine (reductive),"[C:1](=[O])[Oh].[#6&!$(C=[O,N]):4]-[Nh:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[N:2](-[#6&!$(C=[O,N]):4])-[#6&!$(C=[O,N]):3]"
140,71,0.67,Pictet-Spengler cyclisation,[Nh&!R:3]-[C:4]-[C:5]-[c:6]1[c:7][n:8][c:9]2[c:10][c:11][c:12][c:13][c:14]21.[#6:2]-[Ch:1]=O >> [#6:2]-[Ch:1]3[N:3]-[C:4]-[C:5]-[c:6]1[c:7]3[n:8][c:9]2[c:10][c:11][c:12][c:13][c:14]21
141,71,0.67,Pictet-Spengler cyclisation,[Nh&!R:3]-[C:4]-[C:5]-[c:6]1[c:7][n:8][c:9]2[c:10][c:11][c:12][c:13][c:14]21.[#6:2]-[Ch:1]=O >> [#6:2]-[Ch:1]3[N:3]-[C:4]-[C:5]-[c:6]1[c:7]3[n:8][c:9]2[c:10][c:11][c:12][c:13][c:14]21
142,72,0.67,Pictet-Spengler cyclisation,[C:1][O:2][c:3]1[c:4][c:5][c:6]([C:11][C:12][Nh&!R:13])[c:7][c:8]1[O:9][C:10].[#6:15][Ch:14]=[O] >> [C:1][O:2][c:3]1[c:4][c:5]2[c:6]([C:11][C:12][N:13]-[Ch:14]2-[#6:15])[c:7][c:8]1[O:9][C:10]
143,72,0.67,Pictet-Spengler cyclisation,[C:1][O:2][c:3]1[c:4][c:5][c:6]([C:11][C:12][Nh&!R:13])[c:7][c:8]1[O:9][C:10].[#6:15][Ch:14]=[O] >> [C:1][O:2][c:3]1[c:4][c:5]2[c:6]([C:11][C:12][N:13]-[Ch:14]2-[#6:15])[c:7][c:8]1[O:9][C:10]
144,73,0.67,Pictet-Spengler cyclisation,[c:3]1[c:4][c:5][c:6]([C:11][C:12][Nh&!R:13])[c:7][c:8]1.[#6:15][Ch:14]=[O] >> [c:3]1[c:4][c:5]2[c:6]([C:11][C:12][N:13]-[Ch:14]2-[#6:15])[c:7][c:8]1
145,73,0.67,Pictet-Spengler cyclisation,[c:3]1[c:4][c:5][c:6]([C:11][C:12][Nh&!R:13])[c:7][c:8]1.[#6:15][Ch:14]=[O] >> [c:3]1[c:4][c:5]2[c:6]([C:11][C:12][N:13]-[Ch:14]2-[#6:15])[c:7][c:8]1
146,74,0.67,?,[Nh&!R:3][c:4]1[c:5][c:6][c:7][c:8][c:9]1-[n:10]1[c:11][c:12][c:13][c:14]1.[#6:2]-[Ch:1]=O >> [#6:2][C:1]2[N:3][c:4]1[c:5][c:6][c:7][c:8][c:9]1-[n:10]1[c:11]2[c:12][c:13][c:14]1
147,74,0.67,?,[Nh&!R:3][c:4]1[c:5][c:6][c:7][c:8][c:9]1-[n:10]1[c:11][c:12][c:13][c:14]1.[#6:2]-[Ch:1]=O >> [#6:2][C:1]2[N:3][c:4]1[c:5][c:6][c:7][c:8][c:9]1-[n:10]1[c:11]2[c:12][c:13][c:14]1
148,75,0.8,Pictet-Spengler cyclisation,[Nh2:3]-[C:4]-[C:5]-[c:6]1[c:7][n:8][c:9]2[c:10][c:11][c:12][c:13][c:14]21.[#6:2]-[C:1](=O)-[Oh] >> [#6:2]-[C:1]3=[N:3]-[C:4]-[C:5]-[c:6]1[c:7]3[n:8][c:9]2[c:10][c:11][c:12][c:13][c:14]21
149,75,0.8,Pictet-Spengler cyclisation,[Nh2:3]-[C:4]-[C:5]-[c:6]1[c:7][n:8][c:9]2[c:10][c:11][c:12][c:13][c:14]21.[#6:2]-[C:1](=O)-[Oh] >> [#6:2]-[C:1]3=[N:3]-[C:4]-[C:5]-[c:6]1[c:7]3[n:8][c:9]2[c:10][c:11][c:12][c:13][c:14]21
150,76,0.8,Pictet-Spengler cyclisation,[C:1][O:2][c:3]1[c:4][c:5][c:6]([C:11][C:12][Nh2:13])[c:7][c:8]1[O:9][C:10].[#6:15][C:14](=[O])-[Oh] >> [C:1][O:2][c:3]1[c:4][c:5]2[c:6]([C:11][C:12][N:13]=[C:14]2-[#6:15])[c:7][c:8]1[O:9][C:10]
151,76,0.8,Pictet-Spengler cyclisation,[C:1][O:2][c:3]1[c:4][c:5][c:6]([C:11][C:12][Nh2:13])[c:7][c:8]1[O:9][C:10].[#6:15][C:14](=[O])-[Oh] >> [C:1][O:2][c:3]1[c:4][c:5]2[c:6]([C:11][C:12][N:13]=[C:14]2-[#6:15])[c:7][c:8]1[O:9][C:10]
152,77,0.75,Pictet-Spengler cyclisation,[c:3]1[c:4][c:5][c:6]([C:11][C:12][Nh2:13])[c:7][c:8]1.[#6:15][C:14](=[O])-[Oh] >> [c:3]1[c:4][c:5]2[c:6]([C:11][C:12][N:13]=[C:14]2-[#6:15])[c:7][c:8]1
153,77,0.75,Pictet-Spengler cyclisation,[c:3]1[c:4][c:5][c:6]([C:11][C:12][Nh2:13])[c:7][c:8]1.[#6:15][C:14](=[O])-[Oh] >> [c:3]1[c:4][c:5]2[c:6]([C:11][C:12][N:13]=[C:14]2-[#6:15])[c:7][c:8]1
154,78,0.75,Functional-group interconversion (Cl -> C),[c:1]-[Cl] >> [c:1]-[C]#N
155,79,0.75,Functional-group interconversion (I -> C),[c:1]-[I] >> [c:1]-[C]#N
156,80,0.75,Functional-group interconversion (Br -> C),[c:1]-[Br] >> [c:1]-[C]#N
157,81,0.75,Functional-group interconversion (Cl -> Nh),[c:1]-[Cl] >> [c:1]-[Nh2]
158,82,0.75,Functional-group interconversion (I -> Nh),[c:1]-[I] >> [c:1]-[Nh2]
159,83,0.75,Functional-group interconversion (Br -> Nh),[c:1]-[Br] >> [c:1]-[Nh2]
160,84,0.75,Functional-group interconversion (Cl -> Oh),[c:1]-[Cl] >> [c:1]-[Oh]
161,85,0.75,Functional-group interconversion (I -> Oh),[c:1]-[I] >> [c:1]-[Oh]
162,86,0.75,Functional-group interconversion (Br -> Oh),[c:1]-[Br] >> [c:1]-[Oh]
163,87,0.75,Functional-group interconversion (Cl -> Br),[c:1]-[Cl] >> [c:1]-[Br]
164,88,0.75,Functional-group interconversion (Cl -> I),[c:1]-[Cl] >> [c:1]-[I]
165,89,0.75,Functional-group interconversion (Br -> Cl),[c:1]-[Br] >> [c:1]-[Cl]
166,90,0.75,Functional-group interconversion (Br -> I),[c:1]-[Br] >> [c:1]-[I]
167,91,0.75,Functional-group interconversion (I -> Br),[c:1]-[I] >> [c:1]-[Br]
168,92,0.75,Functional-group interconversion (I -> Cl),[c:1]-[I] >> [c:1]-[Cl]
169,93,0.75,Functional-group interconversion (Cl -> Sh),[c:1]-[Cl] >> [c:1]-[Sh]
170,94,0.75,Functional-group interconversion (I -> Sh),[c:1]-[I] >> [c:1]-[Sh]
171,95,0.75,Functional-group interconversion (Br -> Sh),[c:1]-[Br] >> [c:1]-[Sh]
172,96,0.65,?,[c]1[c][c](C)[c][c][c]1-[S](=[O])(=[O])-[C:2]-[N:3]=[C:4].[#6:7]-[Ch:6]=[O:5] >> [c:6]([#6:7])1[o:5][c:4][n:3][c:2]1
173,96,0.65,?,[c]1[c][c](C)[c][c][c]1-[S](=[O])(=[O])-[C:2]-[N:3]=[C:4].[#6:7]-[Ch:6]=[O:5] >> [c:6]([#6:7])1[o:5][c:4][n:3][c:2]1
174,97,0.85,Williamson ether synthesis,[Ch2:1]-[Br].[C:2]-[Oh:3] >> [Ch2:1]-[O:3]-[C:2]
175,97,0.85,Williamson ether synthesis,[Ch2:1]-[Br].[C:2]-[Oh:3] >> [Ch2:1]-[O:3]-[C:2]
