template_id,steps,cum_coverage,named_reaction,single_reactant,smarts
96,1740,0.9498,Tetrazole formation (nitrile + alkyl halide),False,[#6:1]-[C:2]#[N:3].[#6:4]-[Ch2:5]-[Br] >> [#6:1]-[c:2]1[n:3][n](-[C:5]-[#6:4])[n-0][n+0]1
59,1637,0.952,aza-Michael addition (enone),False,"[#6:2]=[#6:3]-[#6:4]=O.[#6&!$(C=[O,N]):10][Nh:1]([#6&!$(C=[O,N]):20]) >> [#6&!$(C=[O,N]):10][N:1]([#6&!$(C=[O,N]):20])-[#6:2]-[#6:3]-[#6:4]=O"
125,1619,0.9542,Urea formation (amine + amine),False,"[Nh2:6]-[#6&!$(C=[O,N]):10].[Nh2:5]-[#6&!$(C=[O,N]):20] >> [Nh:5](-[#6&!$(C=[O,N]):20])-[C](=O)-[Nh:6]-[#6&!$(C=[O,N]):10]"
32,1571,0.9563,SNAr (halo-heteroarene + amine),False,"[#6&!$(C=[O,N]):10][Nh:1]([#6&!$(C=[O,N]):20]).[F]-[c:4]1[n:5][c:6][c:7][c:8][c:9]1 >> [#6&!$(C=[O,N]):10][N:1]([#6&!$(C=[O,N]):20])-[c:4]1[n:5][c:6][c:7][c:8][c:9]1"
37,1431,0.9582,SNAr (halo-heteroarene + amine),False,"[F]-[c:4]1[n:5][c:6][c:7][c:8][c:9]1.[#6&!$(C=[O,N]):10][Nh2:1] >> [#6&!$(C=[O,N]):10][Nh:1]-[c:4]1[n:5][c:6][c:7][c:8][c:9]1"
177,1394,0.96,Williamson ether synthesis,False,[C:2]-[Oh:3].[Ch2:1]-[Cl] >> [Ch2:1]-[O:3]-[C:2]
175,1294,0.9618,Williamson ether synthesis,False,[C:2]-[Oh:3].[Ch2:1]-[Br] >> [Ch2:1]-[O:3]-[C:2]
57,1200,0.9634,aza-Michael addition (enone),False,"[#6:2]=[#6:3]-[#6:4]=O.[#6&!$(C=[O,N]):10][Nh2:1] >> [#6&!$(C=[O,N]):10][Nh:1]-[#6:2]-[#6:3]-[#6:4]=O"
98,1197,0.965,Tetrazole formation (nitrile + alkyl halide),False,[#6:1]-[C:2]#[N:3].[#6:4]-[Ch2:5]-[Br] >> [#6:1]-[c:2]1[n:3][n+0][n-0][n](-[C:5]-[#6:4])1
187,1197,0.9666,Benzimidazole formation,False,[#6:6]-[Ch:1]=[O].[Nh2:5]-[c;r6:4][c;r6:3]-[Nh2:2] >> [n:5]1[c:4][c:3][nH:2][c:1](-[#6:6])1
127,1134,0.9681,Urea formation (amine + amine),False,"[Nh2:6]-[#6&!$(C=[O,N]):10].[#6&!$(C=[O,N]):21]-[Nh:5]-[#6&!$(C=[O,N]):20] >> [#6&!$(C=[O,N]):21]-[N:5](-[#6&!$(C=[O,N]):20])-[C](=O)-[Nh:6]-[#6&!$(C=[O,N]):10]"
174,1091,0.9696,Williamson ether synthesis,False,[Ch2:1]-[Br].[C:2]-[Oh:3] >> [Ch2:1]-[O:3]-[C:2]
4,1077,0.971,SNAr (activated aryl fluoride + amine),False,"[#6&!$(C=[O,N]):9][Nh:1][#6&!$(C=[O,N]):20].[F]-[c:2]1[c:3]([C:10]=O)[c:4][c:5][c:6][c:7]1 >> [#6&!$(C=[O,N]):9][N:1]([#6&!$(C=[O,N]):20])-[c:2]1[c:3]([C:10]=O)[c:4][c:5][c:6][c:7]1"
203,1067,0.9724,N-alkylation (azole N-H + alkyl halide),False,[Br]-[Ch2:4]-[#6:5].[c:1][nH:2][c:3] >> [c:1][n:2]([c:3])-[Ch2:4]-[#6:5]
186,935,0.9737,Benzimidazole formation,False,[Nh2:5]-[c;r6:4][c;r6:3]-[Nh2:2].[#6:6]-[Ch:1]=[O] >> [n:5]1[c:4][c:3][nH:2][c:1](-[#6:6])1
171,883,0.9749,Functional-group interconversion (Br -> Sh),True,[c:1]-[Br] >> [c:1]-[Sh]
156,842,0.976,Functional-group interconversion (Br -> C),True,[c:1]-[Br] >> [c:1]-[C]#N
162,831,0.9771,Functional-group interconversion (Br -> Oh),True,[c:1]-[Br] >> [c:1]-[Oh]
33,769,0.9781,SNAr (halo-heteroarene + amine),False,"[F]-[c:4]1[n:5][c:6][c:7][c:8][c:9]1.[#6&!$(C=[O,N]):10][Nh:1]([#6&!$(C=[O,N]):20]) >> [#6&!$(C=[O,N]):10][N:1]([#6&!$(C=[O,N]):20])-[c:4]1[n:5][c:6][c:7][c:8][c:9]1"
6,746,0.9791,SNAr (activated aryl fluoride + amine),False,"[#6&!$(C=[O,N]):9][Nh2:1].[F]-[c:2]1[c:3]([C:8]=O)[c:4][c:5][c:6][c:7]1 >> [#6&!$(C=[O,N]):9][N:1][c:2]1[c:3]([C:8]=O)[c:4][c:5][c:6][c:7]1"
107,723,0.9801,Tetrazole formation (nitrile + alkyl halide),False,[#6:4]-[Ch2:5]-[Cl].[#6:1]-[C:2]#[N:3] >> [#6:1]-[c:2]1[n:3][n+0][n-0][n](-[C:5]-[#6:4])1
36,715,0.981,SNAr (halo-heteroarene + amine),False,"[#6&!$(C=[O,N]):10][Nh2:1].[F]-[c:4]1[n:5][c:6][c:7][c:8][c:9]1 >> [#6&!$(C=[O,N]):10][Nh:1]-[c:4]1[n:5][c:6][c:7][c:8][c:9]1"
97,687,0.982,Tetrazole formation (nitrile + alkyl halide),False,[#6:4]-[Ch2:5]-[Br].[#6:1]-[C:2]#[N:3] >> [#6:1]-[c:2]1[n:3][n](-[C:5]-[#6:4])[n-0][n+0]1
81,687,0.9829,Urea formation (isocyanate + amine),False,"[#6:5]-[N:2]=[C:3]=[O:4].[#6&!$(C=[O,N]):6]-[Nh2:1] >> [Nh:1](-[#6&!$(C=[O,N]):6])-[C:3](=[O:4])-[N:2]-[#6:5]"
159,680,0.9838,Functional-group interconversion (Br -> Nh),True,[c:1]-[Br] >> [c:1]-[Nh2]
120,622,0.9846,Sonogashira coupling,False,[Ch:4]#[Ch:5].[c:2]-[Br] >> [c:2]-[C:5]#[Ch:4]
1,578,0.9854,SNAr (activated aryl fluoride + amine),False,"[F]-[c:2]1[c:3][c:4][c:5]([C:8]=O)[c:6][c:7]1.[#6&!$(C=[O,N]):9][Nh2:1] >> [#6&!$(C=[O,N]):9][N:1][c:2]1[c:3][c:4][c:5]([C:8]=O)[c:6][c:7]1"
80,560,0.9862,Urea formation (isocyanate + amine),False,"[#6&!$(C=[O,N]):6]-[Nh2:1].[#6:5]-[N:2]=[C:3]=[O:4] >> [Nh:1](-[#6&!$(C=[O,N]):6])-[C:3](=[O:4])-[N:2]-[#6:5]"
90,544,0.9869,Suzuki coupling (pinacol boronate),False,[c:1](B1OC(C)(C)C(C)(C)O1).[c:2]-[Br] >> [c:1]-[c:2]
152,509,0.9876,Pictet-Spengler cyclisation,False,[c:3]1[c:4][c:5][c:6]([C:11][C:12][Nh2:13])[c:7][c:8]1.[#6:15][C:14](=[O])-[Oh] >> [c:3]1[c:4][c:5]2[c:6]([C:11][C:12][N:13]=[C:14]2-[#6:15])[c:7][c:8]1
99,507,0.9882,Tetrazole formation (nitrile + alkyl halide),False,[#6:4]-[Ch2:5]-[Br].[#6:1]-[C:2]#[N:3] >> [#6:1]-[c:2]1[n:3][n+0][n-0][n](-[C:5]-[#6:4])1
91,458,0.9889,Suzuki coupling (pinacol boronate),False,[c:2]-[Br].[c:1](B1OC(C)(C)C(C)(C)O1) >> [c:1]-[c:2]
43,433,0.9894,SNAr (halo-heteroarene + amine),False,"[F]-[c:4]1[n:5][c:6][c:7][c:8][n:9]1.[#6&!$(C=[O,N]):10][Nh2:1] >> [#6&!$(C=[O,N]):10][Nh:1]-[c:4]1[n:5][c:6][c:7][c:8][n:9]1"
94,429,0.99,Triazole formation (alkyne + alkyl halide),False,[#6:1]-[C:2]#[Ch:3].[#6:4]-[Ch2:5]-[Br] >> [c:3]1[c:2](-[#6:1])[n](-[C:5]-[#6:4])[n-0][n+0]1
92,426,0.9906,Triazole formation (alkyne + alkyl halide),False,[#6:1]-[C:2]#[Ch:3].[#6:4]-[Ch2:5]-[Br] >> [#6:1]-[c:2]1[c:3][n](-[C:5]-[#6:4])[n-0][n+0]1
7,419,0.9911,SNAr (activated aryl fluoride + amine),False,"[F]-[c:2]1[c:3]([C:8]=O)[c:4][c:5][c:6][c:7]1.[#6&!$(C=[O,N]):9][Nh2:1] >> [#6&!$(C=[O,N]):9][N:1][c:2]1[c:3]([C:8]=O)[c:4][c:5][c:6][c:7]1"
82,403,0.9917,Urea formation (isocyanate + amine),False,"[#6&!$(C=[O,N]):6]-[Nh:1]-[#6&!$(C=[O,N]):7].[#6:5]-[N:2]=[C:3]=[O:4] >> [#6&!$(C=[O,N]):7]-[N:1](-[#6&!$(C=[O,N]):6])-[C:3](=[O:4])-[N:2]-[#6:5]"
84,349,0.9921,Suzuki coupling,False,[c:1]-[B]([Oh])([Oh]).[c:2]-[I] >> [c:1]-[c:2]
110,336,0.9926,Buchwald-Hartwig amination,False,"[#6&!$(C=[O,N]):3]-[Nh:1]-[#6&!$(C=[O,N]):4].[c:2]-[I] >> [#6&!$(C=[O,N]):3]-[N:1](-[#6&!$(C=[O,N]):4])-[c:2]"
122,328,0.993,Sonogashira coupling,False,[*:3]-[C:4]#[Ch:5].[c:2]-[Br] >> [c:2]-[C:5]#[C:4]-[*:3]
108,320,0.9935,Buchwald-Hartwig amination,False,"[#6&!$(C=[O,N]):3]-[Nh2:1].[c:2]-[I] >> [#6&!$(C=[O,N]):3]-[Nh:1]-[c:2]"
83,291,0.9938,Urea formation (isocyanate + amine),False,"[#6:5]-[N:2]=[C:3]=[O:4].[#6&!$(C=[O,N]):6]-[Nh:1]-[#6&!$(C=[O,N]):7] >> [#6&!$(C=[O,N]):7]-[N:1](-[#6&!$(C=[O,N]):6])-[C:3](=[O:4])-[N:2]-[#6:5]"
60,261,0.9942,aza-Michael addition (vinyl sulfone),False,"[#6&!$(C=[O,N]):10][Nh:1]([#6&!$(C=[O,N]):20]).[#6:2]=[#6:3]-[S:4](=O)(=O) >> [#6&!$(C=[O,N]):10][N:1]([#6&!$(C=[O,N]):20])-[#6:2]-[#6:3]-[S:4](=O)(=O)"
10,254,0.9945,SNAr (activated aryl fluoride + amine),False,"[#6&!$(C=[O,N]):9][Nh2:1].[F]-[c:2]1[c:3][c:4][c:5]([C:10]#N)[c:6][c:7]1 >> [#6&!$(C=[O,N]):9][Nh:1]-[c:2]1[c:3][c:4][c:5]([C:10]#N)[c:6][c:7]1"
