template_id,steps,cum_coverage,named_reaction,single_reactant,smarts
16,26,0.9997,SNAr (activated aryl fluoride + amine),False,"[#6&!$(C=[O,N]):9][Nh2:1].[F]-[c:2]1[c:3]([#7+:10](=O)-[#8-])[c:4][c:5][c:6][c:7]1 >> [#6&!$(C=[O,N]):9][Nh:1]-[c:2]1[c:3]([#7+:10](=O)-[#8-])[c:4][c:5][c:6][c:7]1"
52,25,0.9997,Sulfonamide formation (sulfonyl fluoride),False,"[#6&!$(C=[O,N]):10][Nh2:1].F-[S:4]([*:7])(=[O:5])=[O:6] >> [#6&!$(C=[O,N]):10][Nh:1]-[S:4]([*:7])(=[O:5])=[O:6]"
48,23,0.9998,SNAr (halo-heteroarene + amine),False,"[#6&!$(C=[O,N]):10][Nh:1]([#6&!$(C=[O,N]):20]).[Cl]-[c:4]1[n:5][c:6][c:7][s:9]1 >> [#6&!$(C=[O,N]):10][N:1]([#6&!$(C=[O,N]):20])-[c:4]1[n:5][c:6][c:7][s:9]1"
103,19,0.9998,Triazole formation (alkyne + alkyl halide),False,[#6:4]-[Ch2:5]-[Cl].[#6:1]-[C:2]#[Ch:3] >> [c:3]1[c:2](-[#6:1])[n](-[C:5]-[#6:4])[n-0][n+0]1
46,18,0.9998,SNAr (halo-heteroarene + amine),False,"[#6&!$(C=[O,N]):10][Nh2:1].[Cl]-[c:4]1[n:5][c:6][c:7][s:9]1 >> [#6&!$(C=[O,N]):10][Nh:1]-[c:4]1[n:5][c:6][c:7][s:9]1"
88,12,0.9998,Suzuki coupling (pinacol boronate),False,[c:1](B1OC(C)(C)C(C)(C)O1).[c:2]-[I] >> [c:1]-[c:2]
14,12,0.9998,SNAr (activated aryl fluoride + amine),False,"[#6&!$(C=[O,N]):9][Nh2:1].[F]-[c:2]1[c:3]([C:10]#N)[c:4][c:5][c:6][c:7]1 >> [#6&!$(C=[O,N]):9][Nh:1]-[c:2]1[c:3]([C:10]#N)[c:4][c:5][c:6][c:7]1"
53,8,0.9999,Sulfonamide formation (sulfonyl fluoride),False,"F-[S:4]([*:7])(=[O:5])=[O:6].[#6&!$(C=[O,N]):10][Nh2:1] >> [#6&!$(C=[O,N]):10][Nh:1]-[S:4]([*:7])(=[O:5])=[O:6]"
47,7,0.9999,SNAr (halo-heteroarene + amine),False,"[Cl]-[c:4]1[n:5][c:6][c:7][s:9]1.[#6&!$(C=[O,N]):10][Nh2:1] >> [#6&!$(C=[O,N]):10][Nh:1]-[c:4]1[n:5][c:6][c:7][s:9]1"
22,7,0.9999,SNAr (activated aryl fluoride + amine),False,"[#6&!$(C=[O,N]):9][Nh2:1].[F]-[c:2]1[c:3][c:4][c:5]([#7+:10](=O)-[#8-])[c:6][c:7]1 >> [#6&!$(C=[O,N]):9][Nh:1]-[c:2]1[c:3][c:4][c:5]([#7+:10](=O)-[#8-])[c:6][c:7]1"
118,6,0.9999,Sonogashira coupling,False,[*:3]-[C:4]#[Ch:5].[c:2]-[I] >> [c:2]-[C:5]#[C:4]-[*:3]
117,6,0.9999,Sonogashira coupling,False,[c:2]-[I].[Ch:4]#[Ch:5] >> [c:2]-[C:5]#[Ch:4]
155,5,0.9999,Functional-group interconversion (I -> C),True,[c:1]-[I] >> [c:1]-[C]#N
192,5,0.9999,Benzothiazole formation,False,[Sh:5]-[c;r6:4][c;r6:3]-[Nh2:2].[#6:6]-[Ch:1]=[O] >> [s:5]1[c:4][c:3][n:2][c:1](-[#6:6])1
18,5,0.9999,SNAr (activated aryl fluoride + amine),False,"[#6&!$(C=[O,N]):9][Nh:1]([#6&!$(C=[O,N]):20]).[F]-[c:2]1[c:3]([#7+:10](=O)-[#8-])[c:4][c:5][c:6][c:7]1 >> [#6&!$(C=[O,N]):9][N:1]([#6&!$(C=[O,N]):20])-[c:2]1[c:3]([#7+:10](=O)-[#8-])[c:4][c:5][c:6][c:7]1"
12,5,0.9999,SNAr (activated aryl fluoride + amine),False,"[#6&!$(C=[O,N]):9][Nh:1]([#6&!$(C=[O,N]):20]).[F]-[c:2]1[c:3]([C:10]#N)[c:4][c:5][c:6][c:7]1 >> [#6&!$(C=[O,N]):9][N:1]([#6&!$(C=[O,N]):20])-[c:2]1[c:3]([C:10]#N)[c:4][c:5][c:6][c:7]1"
54,5,0.9999,Sulfonamide formation (sulfonyl fluoride),False,"[#6&!$(C=[O,N]):10][Nh:1]([#6&!$(C=[O,N]):20]).F-[S:4]([*:7])(=[O:5])=[O:6] >> [#6&!$(C=[O,N]):10][N:1]([#6&!$(C=[O,N]):20])-[S:4]([*:7])(=[O:5])=[O:6]"
116,4,0.9999,Sonogashira coupling,False,[Ch:4]#[Ch:5].[c:2]-[I] >> [c:2]-[C:5]#[Ch:4]
147,4,0.9999,?,False,[#6:2]-[Ch:1]=O.[Nh&!R:3][c:4]1[c:5][c:6][c:7][c:8][c:9]1-[n:10]1[c:11][c:12][c:13][c:14]1 >> [#6:2][C:1]2[N:3][c:4]1[c:5][c:6][c:7][c:8][c:9]1-[n:10]1[c:11]2[c:12][c:13][c:14]1
20,4,0.9999,SNAr (activated aryl fluoride + amine),False,"[#6&!$(C=[O,N]):9][Nh:1]([#6&!$(C=[O,N]):20]).[F]-[c:2]1[c:3][c:4][c:5]([#7+:10](=O)-[#8-])[c:6][c:7]1 >> [#6&!$(C=[O,N]):9][N:1]([#6&!$(C=[O,N]):20])-[c:2]1[c:3][c:4][c:5]([#7+:10](=O)-[#8-])[c:6][c:7]1"
193,4,0.9999,Benzothiazole formation,False,[#6:6]-[Ch:1]=[O].[Sh:5]-[c;r6:4][c;r6:3]-[Nh2:2] >> [s:5]1[c:4][c:3][n:2][c:1](-[#6:6])1
119,4,1.0,Sonogashira coupling,False,[c:2]-[I].[*:3]-[C:4]#[Ch:5] >> [c:2]-[C:5]#[C:4]-[*:3]
158,3,1.0,Functional-group interconversion (I -> Nh),True,[c:1]-[I] >> [c:1]-[Nh2]
178,3,1.0,Williamson ether synthesis,False,[Ch2:1]-[I].[C:2]-[Oh:3] >> [Ch2:1]-[O:3]-[C:2]
49,3,1.0,SNAr (halo-heteroarene + amine),False,"[Cl]-[c:4]1[n:5][c:6][c:7][s:9]1.[#6&!$(C=[O,N]):10][Nh:1]([#6&!$(C=[O,N]):20]) >> [#6&!$(C=[O,N]):10][N:1]([#6&!$(C=[O,N]):20])-[c:4]1[n:5][c:6][c:7][s:9]1"
89,3,1.0,Suzuki coupling (pinacol boronate),False,[c:2]-[I].[c:1](B1OC(C)(C)C(C)(C)O1) >> [c:1]-[c:2]
63,3,1.0,aza-Michael addition (vinyl sulfone),False,"[#6:2]=[#6:3]-[S:4](=O)(=O).[#6&!$(C=[O,N]):10][Nh2:1] >> [#6&!$(C=[O,N]):10][Nh:1]-[#6:2]-[#6:3]-[S:4](=O)(=O)"
61,3,1.0,aza-Michael addition (vinyl sulfone),False,"[#6:2]=[#6:3]-[S:4](=O)(=O).[#6&!$(C=[O,N]):10][Nh:1]([#6&!$(C=[O,N]):20]) >> [#6&!$(C=[O,N]):10][N:1]([#6&!$(C=[O,N]):20])-[#6:2]-[#6:3]-[S:4](=O)(=O)"
170,3,1.0,Functional-group interconversion (I -> Sh),True,[c:1]-[I] >> [c:1]-[Sh]
205,3,1.0,N-alkylation (azole N-H + alkyl halide),False,[I]-[Ch2:4]-[#6:5].[c:1][nH:2][c:3] >> [c:1][n:2]([c:3])-[Ch2:4]-[#6:5]
134,2,1.0,?,False,[Ch0:1](=[O:2])[C:3]-[Nh:4]-[C:5](=[O:6])-[C:7]-[Nh2:8].[c:9]-[N:10]=[C:11]=S >> [Ch0:1](=[O:2])[C:3]-[N:4]1-[C:5](=[O:6])-[C:7]-[Nh:8]-[C:11]1=[N:10]-[c:9]
184,2,1.0,Benzimidazole formation (N-substituted),False,[Nh:5](-[#6:7])-[c;r6:4][c;r6:3]-[Nh2:2].[#6:6]-[C:1](=[O])-[Oh] >> [n:5]1(-[#6:7])[c:4][c:3][n:2][c:1](-[#6:6])1
189,2,1.0,Benzimidazole formation (N-substituted),False,[#6:6]-[Ch:1]=[O].[Nh:5](-[#6:7])-[c;r6:4][c;r6:3]-[Nh2:2] >> [n:5](-[#6:7])1[c:4][c:3][n:2][c:1](-[#6:6])1
146,1,1.0,?,False,[Nh&!R:3][c:4]1[c:5][c:6][c:7][c:8][c:9]1-[n:10]1[c:11][c:12][c:13][c:14]1.[#6:2]-[Ch:1]=O >> [#6:2][C:1]2[N:3][c:4]1[c:5][c:6][c:7][c:8][c:9]1-[n:10]1[c:11]2[c:12][c:13][c:14]1
188,1,1.0,Benzimidazole formation (N-substituted),False,[Nh:5](-[#6:7])-[c;r6:4][c;r6:3]-[Nh2:2].[#6:6]-[Ch:1]=[O] >> [n:5](-[#6:7])1[c:4][c:3][n:2][c:1](-[#6:6])1
161,1,1.0,Functional-group interconversion (I -> Oh),True,[c:1]-[I] >> [c:1]-[Oh]
204,1,1.0,N-alkylation (azole N-H + alkyl halide),False,[c:1][nH:2][c:3].[I]-[Ch2:4]-[#6:5] >> [c:1][n:2]([c:3])-[Ch2:4]-[#6:5]
