strategy,setup_s,hub_pick_s,enumeration_s,reward_gen_s,flow_extract_s,unattributed_s,mode_selection_s,total_s,n_hubs_walked,n_children_scored
hub_batching,0.77,0.202,57.4534,30.757,9.8724,0.0,7.3768,106.4316,17,27300
best_candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.4009,0.4009,0,0
