gate,best_modes,best_rxn_per_mode,best_stop_reason,hub_modes,hub_rxn_per_mode,hub_stop_reason,edge,hub_hubs_used,hub_reward_gen_calls,pool_limited
5.0,300,3.383,modes,300,1.09,modes,3.104,8,33099,False
6.0,300,3.383,modes,300,1.11,modes,3.048,14,61024,False
7.0,300,3.383,modes,300,1.243,modes,2.722,44,200743,False
