strategy,setup_s,hub_pick_s,enumeration_s,reward_gen_s,flow_extract_s,unattributed_s,mode_selection_s,total_s,n_hubs_walked,n_children_scored
hub_batching,28.664,0.191,551.4166,42.5013,115.1627,0.0,1.0072,738.9428,8,33827
best_candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.9008,0.9008,0,0
