strategy,setup_s,hub_pick_s,enumeration_s,reward_gen_s,flow_extract_s,unattributed_s,mode_selection_s,total_s,n_hubs_walked,n_children_scored
hub_batching,0.566,0.203,51.0876,25.7328,8.063,0.0,5.7485,91.4008,14,22785
best_candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.5221,0.5221,0,0
