strategy,setup_s,hub_pick_s,enumeration_s,reward_gen_s,flow_extract_s,unattributed_s,mode_selection_s,total_s,n_hubs_walked,n_children_scored
hub_batching,0.551,0.141,38.6394,33.5085,2800.2734,0.0,4.507,2877.6202,43,28908
best_candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.426,0.426,0,0
