label,k,modes,reactions,reactions_per_mode,hubs_used,distinct_fragments,reward_gen_calls,median_reward,best_reward,stop_reason,ct_setup_s,ct_hub_pick_s,ct_enumeration_s,ct_reward_gen_s,ct_flow_extract_s,ct_mode_selection_s,compute_total_s
naive (reward),,300,816,2.72,2,321,7086,7.491,8.325,modes,26.689,0.159,108.7665,9.1983,23.4524,1.4936,169.7587
best_candidate,,300,929,3.097,254,205,0,8.103,8.404,modes,0.0,0.0,0.0,0.0,0.0,1.1254,1.1254
pre-select K=0,0,300,367,1.223,57,26,315539,7.302,8.404,modes,26.689,0.159,5941.2978,366.2061,1135.6883,1.6731,7471.7133
pre-select K=5,5,300,368,1.227,55,29,288860,7.289,8.404,modes,26.689,0.159,5424.7708,332.4414,1032.3339,1.1336,6817.5277
pre-select K=10,10,300,367,1.223,51,30,274271,7.29,8.404,modes,26.689,0.159,5162.9884,315.4435,979.1442,1.0148,6485.4389
pre-select K=20,20,300,365,1.217,43,37,241158,7.3,8.404,modes,26.689,0.159,4524.0842,275.4125,857.2096,0.9973,5684.5516
pre-select K=50,50,300,378,1.26,29,61,158660,7.343,8.404,modes,26.689,0.159,2950.9393,186.2244,567.3001,0.9389,3732.2506
pre-select K=100,100,300,422,1.407,19,108,85165,7.436,8.385,modes,26.689,0.159,1578.5404,101.5897,296.4384,1.035,2004.4515
pre-select K=200,200,300,556,1.853,10,202,52865,7.511,8.379,modes,26.689,0.159,945.0363,63.3874,182.6563,0.9503,1218.8783
