strategy,setup_s,hub_pick_s,enumeration_s,reward_gen_s,flow_extract_s,unattributed_s,mode_selection_s,total_s,n_hubs_walked,n_children_scored
hub_batching,0.709,0.163,133.8319,308.8104,11317.9733,0.0,5.7078,11767.1954,137,108373
best_candidate,0.0,0.0,0.0,0.0,0.0,0.0,1.1678,1.1678,0,0
