strategy,setup_s,hub_pick_s,enumeration_s,reward_gen_s,flow_extract_s,unattributed_s,mode_selection_s,total_s,n_hubs_walked,n_children_scored
hub_batching,23.614,0.178,0.0,0.0,0.0,22176.3974,5.3826,22205.572,37,45420
best_candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.2208,0.2208,0,0
