strategy,setup_s,hub_pick_s,enumeration_s,reward_gen_s,flow_extract_s,unattributed_s,mode_selection_s,total_s,n_hubs_walked,n_children_scored
hub_batching,28.395,0.196,519.9214,40.4421,115.6881,0.0,0.6578,705.3004,8,33099
best_candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.934,0.934,0,0
