recorded_amine,score_amine,counterfactual_amide,score_amide
N#Cc1cc(Br)cc(NC[C@H](N)CS)c1,0.015509,N#Cc1cc(Br)cc(NC(=O)[C@H](N)CS)c1,0.000809
CN(CCCN)CCN1CC(=O)C1,0.027867,CN(CCCN)CC(=O)N1CC(=O)C1,0.008482
Cc1ccnc(Br)c1NCCC1c2cccc(Br)c2CCN1C[C@@H]1CCCN1CC=O,0.947249,Cc1ccnc(Br)c1N(CCC1c2cccc(Br)c2CCN1C[C@@H]1CCCN1)C(=O)C=O,0.757703
O=C(O)C1(NCC2CCN2)CCC1,0.009233,O=C(NC1(C(=O)O)CCC1)C1CCN1,0.001963
CC[C@@H](CNCc1ccc(O)cc1)NCC1CNC1,0.533362,CC[C@H](NCC1CNC1)C(=O)NCc1ccc(O)cc1,0.136968
N#Cc1cc(Br)cc(N(Cc2c[nH]c3cc(Br)ccc23)C2CCCN(CC3(N)CCC3)C2)c1,0.995715,N#Cc1cc(Br)cc(N(Cc2c[nH]c3cc(Br)ccc23)C2CCCN(C(=O)C3(N)CCC3)C2)c1,0.289367
Oc1ccccc1N(Cc1c[nH]c2ccc(Br)cc12)C1CCCN(C[C@@H]2CCCNC2)C1,0.999995,O=C([C@@H]1CCCNC1)N1CCCC(N(Cc2c[nH]c3ccc(Br)cc23)c2ccccc2O)C1,0.434481
Oc1ccc(Br)cc1NCCCN(CCc1c[nH]c2ccccc12)CC1CNC1,0.993553,O=C(C1CNC1)N(CCCNCCc1c[nH]c2ccccc12)c1cc(Br)ccc1O,0.972008
O=C(O)C1CCN1CC1CN(Cc2c[nH]c3cc(Br)ccc23)C1,0.168006,O=C(O)C1CCN1C(=O)C1CN(Cc2c[nH]c3cc(Br)ccc23)C1,0.067938
NCCCN1CCc2c(cccc2N2CCN(CCN)CC2)C1c1c[nH]c2ccc(Br)cc12,0.999994,NCCC(=O)N1CCc2c(cccc2N2CCN(CCN)CC2)C1c1c[nH]c2ccc(Br)cc12,0.995752
C=CCNCCCN1CCC1CNc1ccc(Br)cc1O,0.697918,C=CCNC(=O)CCN1CCC1CNc1ccc(Br)cc1O,0.260822
COc1ccc(O)c(NC[C@H]2CCCN2CC2CN(C[C@H](N)Cc3ccc(O)cc3)C2)c1,0.861659,COc1ccc(O)c(NC(=O)[C@H]2CCCN2CC2CN(C[C@H](N)Cc3ccc(O)cc3)C2)c1,0.639213
CN(CCN1CC(CNC2CC2)C1)Cc1ccc(N)c(Br)c1,0.412644,CN(CCN1CC(C(=O)NC2CC2)C1)Cc1ccc(N)c(Br)c1,0.177098
c1ccc(NCC2CCN2C2CCCNC2)nc1,0.5,O=C(Nc1ccccn1)C1CCN1C1CCCNC1,0.089799
CC(C)C[C@@H](N)CNc1cc(F)ccc1O,0.032192,CC(C)C[C@@H](N)C(=O)Nc1cc(F)ccc1O,0.001168
CC[C@H](N)CN1CCc2c(Br)cccc2C1CN(C)CC(=O)O,0.438749,CC[C@H](N)C(=O)N1CCc2c(Br)cccc2C1CN(C)CC(=O)O,0.078468
