cell,n_routes,n_steps,mean_step_yield,mean_route_yield,median_route_yield,direct_steps,amide_steps,pct_steps_direct,pct_of_acid_amine_direct
scent_seh/seed43,53913,127260,0.7455,0.517,0.525,14355,30973,11.28,31.67
scent_seh/seed44,61903,154826,0.741,0.4919,0.49,24489,33389,15.82,42.31
scent_drd2/drd2_seed43,81618,238428,0.7318,0.4189,0.3937,110697,170,46.43,99.85
scent_drd2/drd2_seed44,78965,226958,0.7297,0.4217,0.392,117663,122,51.84,99.9
