tag,target,arm,child_policy,modes,priced,unpriced,used_rxns,stop_reason,mean_route_yield,median_route_yield,mean_step_yield,mean_route_len,pct_steps_direct,expected_molecules,sd_if_independent,sd_with_shared_prefixes,n_shared_batches,pct_in_multi_batches,largest_batch,expected_lost_to_shared_prefix,worst_batch_loss_prob
drd2_drd2_seed44,drd2,best_candidate,,28,28,0,100,reactions,0.3557,0.343,0.7298,3.36,31.91,9.96,2.49,2.58,0,0.0,0,0.0,0.0
drd2_drd2_seed44,drd2,hub_batching,free_frag,94,94,0,100,reactions,0.5436,0.56,0.749,2.16,33.0,51.1,4.71,14.47,7,100.0,26,19.0,0.44
