cell,n_steps_sampled,mean_chosen_yield,mean_available_yield,delta,pct_chose_below_available,mean_route_len,route_yield_chosen,route_yield_at_available,pct_route_yield_forgone
seed43,6000,0.7452,0.7715,-0.0263,76.93,2.36,0.4995,0.5421,7.86
seed44,6000,0.7404,0.7742,-0.0338,81.77,2.5,0.4716,0.5273,10.57
drd2_seed43,6000,0.731,0.7772,-0.0462,85.83,2.92,0.4004,0.4788,16.38
drd2_seed44,6000,0.7296,0.778,-0.0484,86.93,2.87,0.4041,0.486,16.85
