tag,target,arm,child_policy,modes,priced,unpriced,used_rxns,stop_reason,mean_route_yield,median_route_yield,mean_step_yield,mean_route_len,pct_steps_direct,expected_molecules,sd_if_independent,sd_with_shared_prefixes,n_shared_batches,pct_in_multi_batches,largest_batch,expected_lost_to_shared_prefix,worst_batch_loss_prob
seh_seed43,seh,best_candidate,,28,28,0,101,reactions,0.5973,0.5625,0.7441,1.82,7.84,16.73,2.5,2.64,2,14.3,2,0.8,0.3
seh_seed43,seh,hub_batching,free_frag,80,80,0,101,reactions,0.5574,0.56,0.7453,1.99,6.29,44.59,4.42,7.83,16,93.8,9,15.82,0.3
