tag,target,arm,child_policy,modes,priced,unpriced,used_rxns,stop_reason,mean_route_yield,median_route_yield,mean_step_yield,mean_route_len,pct_steps_direct,expected_molecules,sd_if_independent,sd_with_shared_prefixes,n_shared_batches,pct_in_multi_batches,largest_batch,expected_lost_to_shared_prefix,worst_batch_loss_prob
drd2_drd2_seed43,drd2,best_candidate,,27,27,0,101,reactions,0.359,0.3517,0.7315,3.37,24.18,9.69,2.44,2.52,0,0.0,0,0.0,0.0
drd2_drd2_seed43,drd2,hub_batching,free_frag,96,96,0,100,reactions,0.5352,0.525,0.7321,2.0,55.73,51.38,4.86,23.65,4,100.0,63,21.39,0.3
