strategy,setup_s,hub_pick_s,enumeration_s,reward_gen_s,flow_extract_s,unattributed_s,mode_selection_s,total_s,n_hubs_walked,n_children_scored
hub_batching,1.216,0.163,57.5838,22247.5021,2714.2857,0.0,3.1736,25023.9243,34,50371
best_candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.2483,0.2483,0,0
