gate,best_modes,best_rxn_per_mode,best_stop_reason,hub_modes,hub_rxn_per_mode,hub_stop_reason,edge,hub_hubs_used,hub_reward_gen_calls,pool_limited
-4.0,300,5.0,modes,300,1.8,modes,2.778,60,73185,False
-3.5,300,5.0,modes,300,1.64,modes,3.049,48,59010,False
-3.0,300,5.0,modes,300,1.573,modes,3.179,43,53760,False
-2.5,300,5.0,modes,300,1.573,modes,3.179,43,53760,False
-2.0,300,5.0,modes,300,1.533,modes,3.262,40,49665,False
-1.5,300,5.0,modes,300,1.52,modes,3.289,39,48405,False
-1.0,300,5.0,modes,300,1.507,modes,3.318,38,47250,False
