strategy,setup_s,hub_pick_s,enumeration_s,reward_gen_s,flow_extract_s,unattributed_s,mode_selection_s,total_s,n_hubs_walked,n_children_scored
hub_batching,0.566,0.203,84.5251,43.3957,14.4758,0.0,3.3999,146.5655,25,38745
best_candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.5262,0.5262,0,0
