strategy,setup_s,hub_pick_s,enumeration_s,reward_gen_s,flow_extract_s,unattributed_s,mode_selection_s,total_s,n_hubs_walked,n_children_scored
hub_batching,0.534,0.173,25.7118,35.5244,5.8843,0.0,2.989,70.8166,13,13755
best_candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.269,0.269,0,0
