tag,arm,step,cum_modes,cum_reactions,reactions_added,reward,source_hub,smiles
rgfn_seh,hub_batching,9,9,31,4,7.285838603973389,Nc1ccc(-c2cccnc2)cc1NCc1ccccc1-c1nc2cc(C(=O)O)ccc2o1,Nc1ccc(-c2cccnc2)cc1NCc1ccccc1-c1nc2cc(CNC34CC(C3)C4)ccc2o1
rgfn_seh,hub_batching,10,10,35,4,7.3120880126953125,Fc1cc(-c2c[nH]cn2)ccc1-c1nnn(CC(NCCc2c[nH]c3ccccc23)c2ccccc2)n1,Fc1cc(-c2cn(CC3CC3)cn2)ccc1-c1nnn(CC(NCCc2c[nH]c3ccccc23)c2ccccc2)n1
rgfn_seh,hub_batching,11,11,39,4,7.329784393310547,O=C(O)c1ccc2oc(-c3ccc4oc(-c5ccccc5-c5cccnc5)nc4c3)nc2c1,O=C(NC1CC1)c1ccc2oc(-c3ccc4oc(-c5ccccc5-c5cccnc5)nc4c3)nc2c1
rgfn_seh,hub_batching,12,12,43,4,7.227311134338379,Nc1ccc(Br)cc1NC(=O)C1CCN1C(=O)c1ccc2oc(-c3ccncc3F)nc2c1,O=C(Nc1cc(Br)ccc1NCC1Cc2ccccc2CN1)C1CCN1C(=O)c1ccc2oc(-c3ccncc3F)nc2c1
rgfn_seh,hub_batching,13,13,47,4,7.844066619873047,Nc1ccc(-c2cccc(-c3nc4cc(-c5cccnc5)ccc4[nH]3)c2)cc1N,Nc1ccc(-c2cccc(-c3nc4cc(-c5cccnc5)ccc4[nH]3)c2)cc1NCC1Cc2ccccc2CN1
rgfn_seh,hub_batching,14,14,48,1,7.799534320831299,Nc1ccc(-c2cccc(-c3nc4cc(-c5cccnc5)ccc4[nH]3)c2)cc1N,c1cncc(-c2ccc3[nH]c(-c4cccc(-c5ccc6[nH]c(C7CCNCC7)nc6c5)c4)nc3c2)c1
rgfn_seh,hub_batching,15,15,49,1,7.259510517120361,Nc1ccc(-c2cccc(-c3nc4cc(-c5cccnc5)ccc4[nH]3)c2)cc1N,Nc1cc(-c2cccc(-c3nc4cc(-c5cccnc5)ccc4[nH]3)c2)ccc1NC(=O)C(N)c1ccccc1
rgfn_seh,hub_batching,16,16,50,1,7.1914753913879395,Nc1ccc(-c2cccc(-c3nc4cc(-c5cccnc5)ccc4[nH]3)c2)cc1N,Nc1ccc(-c2cccc(-c3nc4cc(-c5cccnc5)ccc4[nH]3)c2)cc1NC(CCl)c1ccc2c(c1)NC(=O)C2
rgfn_seh,hub_batching,17,17,51,1,7.170346736907959,Nc1ccc(-c2cccc(-c3nc4cc(-c5cccnc5)ccc4[nH]3)c2)cc1N,Nc1ccc(-c2cccc(-c3nc4cc(-c5cccnc5)ccc4[nH]3)c2)cc1NC(=O)NCCc1c[nH]c2ccccc12
rgfn_seh,hub_batching,18,18,52,1,7.149756908416748,Nc1ccc(-c2cccc(-c3nc4cc(-c5cccnc5)ccc4[nH]3)c2)cc1N,FC(F)(F)c1ccc(-c2nc3ccc(-c4cccc(-c5nc6cc(-c7cccnc7)ccc6[nH]5)c4)cc3[nH]2)nc1
rgfn_seh,hub_batching,19,19,56,4,7.244502067565918,COc1cccc(CNC(=O)C2CCN2c2ccc(C(=O)Cn3nnc(-c4ccc5[nH]cc(C=O)c5c4)n3)cc2)c1,COc1cccc(CNC(=O)C2CCN2c2ccc(C(=O)Cn3nnc(-c4ccc5[nH]cc(C6Nc7ccccc7-n7cccc76)c5c4)n3)cc2)c1
rgfn_seh,hub_batching,20,20,60,4,7.299417018890381,Nc1cc(Br)ccc1NCc1ccc2oc(-c3ccc4oc(-c5ccncc5F)nc4c3)nc2c1,O=C(Nc1cc(Br)ccc1NCc1ccc2oc(-c3ccc4oc(-c5ccncc5F)nc4c3)nc2c1)C1CNC1
rgfn_seh,hub_batching,21,21,64,4,7.357420444488525,Nc1cc(-c2nnn(CC3CC3)n2)ccc1NC(Cn1nnc(-c2ccc3[nH]cc(C=O)c3c2)n1)c1ccc(F)cc1,Nc1cc(-c2nnn(CC3CC3)n2)ccc1NC(Cn1nnc(-c2ccc3[nH]cc(C4NCCc5ccccc54)c3c2)n1)c1ccc(F)cc1
rgfn_seh,hub_batching,22,22,68,4,7.347057342529297,O=C(Nc1cc(Br)n[nH]1)c1ccc2oc(-c3ccc4oc(-c5ccncc5)nc4c3)nc2c1,O=C(Nc1cc(NC23CC(C2)C3)n[nH]1)c1ccc2oc(-c3ccc4oc(-c5ccncc5)nc4c3)nc2c1
rgfn_seh,hub_batching,23,23,72,4,7.591916084289551,N#Cc1cccc(C(=O)Cn2nnc(-c3ccc(-c4cc(NC(=O)C5CCN5)[nH]n4)cc3F)n2)c1,O=C(Cn1nnc(-c2ccc(-c3cc(NC(=O)C4CCN4)[nH]n3)cc2F)n1)c1cccc(-c2nnn(CC3CC3)n2)c1
rgfn_seh,hub_batching,24,24,73,1,7.295410633087158,N#Cc1cccc(C(=O)Cn2nnc(-c3ccc(-c4cc(NC(=O)C5CCN5)[nH]n4)cc3F)n2)c1,N#Cc1cccc(C(Cn2nnc(-c3ccc(-c4cc(NC(=O)C5CCN5)[nH]n4)cc3F)n2)NCc2c[nH]c3ccccc23)c1
rgfn_seh,hub_batching,25,25,77,4,7.520279884338379,O=C(O)c1ccc2oc(C3CCN3Cc3ccc4oc(-c5ccccn5)nc4c3)nc2c1,c1ccc(-c2nc3cc(CN4CCC4c4nc5cc(CNC67CC(C6)C7)ccc5o4)ccc3o2)nc1
rgfn_seh,hub_batching,26,26,81,4,7.082793712615967,O=C(Cn1nnc(-c2cncc(Br)c2)n1)c1ccc(N2CCC2C2=NCCc3ccccc32)cc1F,O=C(Cn1nnc(-c2cncc(NC34CC(C3)C4)c2)n1)c1ccc(N2CCC2C2=NCCc3ccccc32)cc1F
rgfn_seh,hub_batching,27,27,85,4,7.009611129760742,O=C(O)c1cccc(-c2nc3cc(-c4ccc(F)c(CNc5n[nH]cc5Br)c4)ccc3o2)c1,O=C(NC1CC1)c1cccc(-c2nc3cc(-c4ccc(F)c(CNc5n[nH]cc5Br)c4)ccc3o2)c1
rgfn_seh,hub_batching,28,28,89,4,7.91286563873291,O=C(O)c1ccc2oc(-c3ccc(-c4nc5ccc(-c6cccnc6)cc5[nH]4)cc3)nc2c1,c1cncc(-c2ccc3nc(-c4ccc(-c5nc6cc(CNC78CC(C7)C8)ccc6o5)cc4)[nH]c3c2)c1
rgfn_seh,hub_batching,29,29,90,1,7.5082106590271,O=C(O)c1ccc2oc(-c3ccc(-c4nc5ccc(-c6cccnc6)cc5[nH]4)cc3)nc2c1,O=C(Nc1ccnc2ccccc12)c1ccc2oc(-c3ccc(-c4nc5ccc(-c6cccnc6)cc5[nH]4)cc3)nc2c1
rgfn_seh,hub_batching,30,30,91,1,7.027210235595703,O=C(O)c1ccc2oc(-c3ccc(-c4nc5ccc(-c6cccnc6)cc5[nH]4)cc3)nc2c1,O=C(O)C1Cc2c([nH]c3ccccc23)C(c2ccc3oc(-c4ccc(-c5nc6ccc(-c7cccnc7)cc6[nH]5)cc4)nc3c2)=N1
rgfn_seh,hub_batching,31,31,95,4,7.355035305023193,O=C(O)c1ccc2oc(-c3ccc4oc(-c5ccc6oc(-c7ccncc7)nc6c5)nc4c3)nc2c1,c1ccc2c(c1)CCN=C2c1ccc2oc(-c3ccc4oc(-c5ccc6oc(-c7ccncc7)nc6c5)nc4c3)nc2c1
rgfn_seh,hub_batching,32,32,96,1,7.2641096115112305,O=C(O)c1ccc2oc(-c3ccc4oc(-c5ccc6oc(-c7ccncc7)nc6c5)nc4c3)nc2c1,O=C(OC1CN2CCC1CC2)c1ccc2oc(-c3ccc4oc(-c5ccc6oc(-c7ccncc7)nc6c5)nc4c3)nc2c1
rgfn_seh,hub_batching,33,33,97,1,7.259299278259277,O=C(O)c1ccc2oc(-c3ccc4oc(-c5ccc6oc(-c7ccncc7)nc6c5)nc4c3)nc2c1,O=C(O)C1Cc2ccccc2CN1Cc1ccc2oc(-c3ccc4oc(-c5ccc6oc(-c7ccncc7)nc6c5)nc4c3)nc2c1
rgfn_seh,hub_batching,34,34,98,1,7.20894193649292,O=C(O)c1ccc2oc(-c3ccc4oc(-c5ccc6oc(-c7ccncc7)nc6c5)nc4c3)nc2c1,O=C(NCc1ccc(C(F)(F)F)cc1)c1ccc2oc(-c3ccc4oc(-c5ccc6oc(-c7ccncc7)nc6c5)nc4c3)nc2c1
