strategy,setup_s,hub_pick_s,enumeration_s,reward_gen_s,flow_extract_s,unattributed_s,mode_selection_s,total_s,n_hubs_walked,n_children_scored
hub_batching,1.336,0.198,97.1003,34210.9474,17.2385,0.0,12.8028,34339.6228,40,49665
best_candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.3182,0.3182,0,0
