strategy,setup_s,hub_pick_s,enumeration_s,reward_gen_s,flow_extract_s,unattributed_s,mode_selection_s,total_s,n_hubs_walked,n_children_scored
hub_batching,26.686,0.212,0.0,0.0,0.0,61550.0274,6.9543,61583.8797,116,108759
best_candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.364,0.364,0,0
