strategy,setup_s,hub_pick_s,enumeration_s,reward_gen_s,flow_extract_s,unattributed_s,mode_selection_s,total_s,n_hubs_walked,n_children_scored
hub_batching,0.847,0.148,40.1723,17483.6702,1462.2794,0.0,2.8484,18989.9653,21,30901
best_candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.2256,0.2256,0,0
