gate,best_modes,best_rxn_per_mode,best_stop_reason,hub_modes,hub_rxn_per_mode,hub_stop_reason,edge,hub_hubs_used,hub_reward_gen_calls,pool_limited
5.0,300,2.91,modes,300,1.26,modes,2.31,39,28908,False
6.0,300,2.91,modes,300,1.387,modes,2.098,58,45025,False
7.0,66,2.939,pool_exhausted,177,2.271,pool_exhausted,1.294,113,131973,True
