strategy,setup_s,hub_pick_s,enumeration_s,reward_gen_s,flow_extract_s,unattributed_s,mode_selection_s,total_s,n_hubs_walked,n_children_scored
hub_batching,39.115,0.178,920.068,68.4517,193.1651,0.0,0.7217,1221.6995,19,54745
best_candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.9316,0.9316,0,0
