gate,best_modes,best_rxn_per_mode,best_stop_reason,hub_modes,hub_rxn_per_mode,hub_stop_reason,edge,hub_hubs_used,hub_reward_gen_calls,pool_limited
-11.0,267,3.333,pool_exhausted,300,2.12,modes,1.572,153,268099,False
-10.5,300,3.343,modes,300,1.873,modes,1.785,119,186043,False
-10.0,300,3.343,modes,300,1.64,modes,2.038,84,124014,False
-9.5,300,3.343,modes,300,1.53,modes,2.185,71,101535,False
-9.0,300,3.343,modes,300,1.417,modes,2.359,51,80028,False
-8.5,300,3.343,modes,300,1.367,modes,2.446,45,71951,False
-8.0,300,3.343,modes,300,1.233,modes,2.711,27,48797,False
