cell,arm,slice,named_reaction,parent_input,local_modes,local_capped,delivered_modes,retained_frac,delivered_ge_min,hub_truncated,n_wells,first_step,last_step
scent_seh_seed44_m10,hub_batching_modes10_group,full,Direct acid -> amine (reductive),O=C(O)c1ccccc1CO[C@H]1CN2CCC1CC2,21,False,18,0.857,True,False,18,206,223
scent_seh_seed44_m10,hub_batching_modes10_group,full,Urea formation (amine + amine),O=C(Nc1ccc(Br)cc1)C1CCN1,20,False,17,0.85,True,False,16,273,289
scent_seh_seed44_m10,hub_batching_modes10_group,full,Urea formation (amine + amine),Nc1ccc(-c2nnn(CC3CC3)n2)cc1N,12,False,16,1.333,True,False,16,73,88
scent_seh_seed44_m10,hub_batching_modes10_group,full,N-alkylation (azole N-H + alkyl halide),O=C(NC1CC1)c1ccc(CCl)cc1,13,False,13,1.0,True,False,13,129,141
scent_seh_seed44_m10,hub_batching_modes10_group,full,Buchwald-Hartwig amination,Nc1ccc(-c2nnn(CC3CC3)n2)cc1N,12,False,12,1.0,True,False,12,61,72
scent_seh_seed44_m10,hub_batching_modes10_group,full,Buchwald-Hartwig amination,Nc1cccc2ccn(CC3CC3)c12,13,False,12,0.923,True,False,12,98,109
scent_seh_seed44_m10,hub_batching_modes10_group,full,Buchwald-Hartwig amination,Nc1ccc(-c2cn(CC3CC3)nn2)cc1,13,False,11,0.846,True,False,11,110,120
scent_seh_seed44_m10,hub_batching_modes10_group,full,Buchwald-Hartwig amination,NC12CC(C1)C2,11,False,11,1.0,True,False,11,142,152
scent_seh_seed44_m10,hub_batching_modes10_group,full,Suzuki coupling,OB(O)c1cccc(-c2nnn(CC3CC3)n2)c1,14,False,11,0.786,True,False,11,174,184
scent_seh_seed44_m10,hub_batching_modes10_group,full,Amide coupling,O=C(O)c1ccc(CO[C@H]2CN3CCC2CC3)cc1,12,False,11,0.917,True,True,11,290,300
scent_seh_seed44_m10,hub_batching_modes10_group,full,Urea formation (amine + amine),Nc1cccc2ccn(CC3CC3)c12,11,False,9,0.818,False,False,9,89,97
scent_seh_seed44_m10,hub_batching_modes10_group,full,Urea formation (amine + amine),Nc1ccc(-c2cn(CC3CC3)nn2)cc1,11,False,8,0.727,False,False,8,121,128
