strategy,n_modes,n_native_routes,native_route_coverage,count_once_reactions,sparrow_reactions,sparrow_priced_modes,abs_diff,rel_diff,sparrow_milp_status,sparrow_n_reaction_nodes,sparrow_n_shared_compounds
best_candidate,100,100,1.0,345,314,100,31,0.0899,Optimal,320,81
hub_batching,100,100,1.0,124,123,100,1,0.0081,Optimal,125,51
