tag,arm,step,cum_modes,cum_reactions,reactions_added,reward,source_hub,smiles
rxnflow_seh,best_candidate,23,23,69,3,7.248762130737305,O=C(O)c1ccc2nc(-c3ccc4oc(-c5ccncc5)nc4c3)[nH]c2c1,c1ccc2c(c1)CCN=C2c1ccc2nc(-c3ccc4oc(-c5ccncc5)nc4c3)[nH]c2c1
rxnflow_seh,best_candidate,24,24,72,3,7.245231628417969,O=C(O)C1CCCN(Cc2ccc(NC(=O)C3Cc4ccccc4CN3)c(O)c2)C1,O=C(NCCc1c[nH]c2ccccc12)C1CCCN(Cc2ccc(NC(=O)C3Cc4ccccc4CN3)c(O)c2)C1
rxnflow_seh,best_candidate,25,25,75,3,7.240368843078613,O=C(Nc1ccc(CN2CCC(C(=O)O)CC2)cc1O)Nc1cccc2ccccc12,O=C(Nc1ccc(CN2CCC(C(=O)NC34CC(C3)C4)CC2)cc1O)Nc1cccc2ccccc12
rxnflow_seh,best_candidate,26,26,78,3,7.23538064956665,O=C1Cc2ccc(C(=O)Cn3nnc(-c4ccc(CN5Cc6ccccc6CC5C(=O)O)cn4)n3)cc2N1,O=C1Cc2ccc(C(=O)Cn3nnc(-c4ccc(CN5Cc6ccccc6CC5C(=O)NC56CC(C5)C6)cn4)n3)cc2N1
rxnflow_seh,best_candidate,27,27,81,3,7.234134674072266,CC(NCc1ccc(C(=O)Nc2cc(C(=O)O)ccc2O)cc1)c1ccccc1,CC(NCc1ccc(C(=O)Nc2cc(C3=NCCc4ccccc43)ccc2O)cc1)c1ccccc1
rxnflow_seh,best_candidate,28,28,84,3,7.230689525604248,O=C(O)C1Cc2ccccc2CN1Cc1cccc(CNc2ccnc3ccccc23)c1,c1cc(CNc2ccnc3ccccc23)cc(CN2Cc3ccccc3CC2CNC23CC(C2)C3)c1
rxnflow_seh,best_candidate,29,29,87,3,7.226536273956299,Nc1cc(C(=O)O)ccc1NC(=O)c1ccccc1NCC1Cc2ccccc2CN1,Nc1cc(CNC23CC(C2)C3)ccc1NC(=O)c1ccccc1NCC1Cc2ccccc2CN1
rxnflow_seh,best_candidate,30,30,90,3,7.2238078117370605,Nc1cc(CN2CCC2C(=O)O)ccc1NCC1Cc2ccccc2CN1,Nc1cc(CN2CCC2C2=NCCc3c2[nH]c2ccccc32)ccc1NCC1Cc2ccccc2CN1
rxnflow_seh,best_candidate,31,31,93,3,7.220730304718018,O=C(O)c1ccc2oc(-c3ccc(CNCc4ccc(C(F)(F)F)cc4)cc3)nc2c1,FC(F)(F)c1ccc(CNCc2ccc(-c3nc4cc(CNC56CC(C5)C6)ccc4o3)cc2)cc1
rxnflow_seh,best_candidate,32,32,96,3,7.214648723602295,O=C(Nc1cc(CN2CCCC2C(=O)O)ccc1O)C1Cc2ccccc2CN1,O=C(Nc1cc(CN2CCCC2C(=O)Nc2ccnc3ccccc23)ccc1O)C1Cc2ccccc2CN1
rxnflow_seh,best_candidate,33,33,99,3,7.214620113372803,Nc1cc(CN2Cc3ccccc3CC2C(=O)O)ccc1NC(=O)C1Cc2ccccc2CN1,Nc1cc(CN2Cc3ccccc3CC2C2=NCCc3ccccc32)ccc1NC(=O)C1Cc2ccccc2CN1
rxnflow_seh,best_candidate,34,34,102,3,7.214361667633057,O=C(O)C1(NCc2ccc(Cn3nnc(-c4ccc(N=C=S)cc4)n3)cc2)CCC1,O=C(NC1CC1)C1(NCc2ccc(Cn3nnc(-c4ccc(N=C=S)cc4)n3)cc2)CCC1
rxnflow_seh,best_candidate,35,35,105,3,7.210279941558838,O=C(O)c1ccc2nc(-c3cccnc3NC34CC(C3)C4)[nH]c2c1,O=C(NC12CC(C1)C2)c1ccc2nc(-c3cccnc3NC34CC(C3)C4)[nH]c2c1
rxnflow_seh,best_candidate,36,36,108,3,7.205297946929932,Nc1cc(C(=O)Nc2ccc(C(=O)O)cc2O)ccc1NC(=O)C1Cc2ccccc2CN1,Nc1cc(C(=O)Nc2ccc(CNC34CC(C3)C4)cc2O)ccc1NC(=O)C1Cc2ccccc2CN1
rxnflow_seh,best_candidate,37,37,111,3,7.202991962432861,O=C(O)c1ccc2nc(-c3cccc(CNCc4ccc(C(F)(F)F)cc4)c3)oc2c1,FC(F)(F)c1ccc(CNCc2cccc(-c3nc4ccc(C5=NCCc6ccccc65)cc4o3)c2)cc1
rxnflow_seh,best_candidate,38,38,114,3,7.202244758605957,O=C(O)c1ccc(O)c(NC(=O)c2ccc(CNCc3ccccc3)cc2)c1,O=C(Nc1cc(C(=O)Nc2ccnc3ccccc23)ccc1O)c1ccc(CNCc2ccccc2)cc1
rxnflow_seh,best_candidate,39,39,117,3,7.189161777496338,O=C(O)C1CCCN(C(=O)C2CCN(c3ccc(C(F)(F)F)cn3)CC2)C1,O=C(Nc1ccnc2ccccc12)C1CCCN(C(=O)C2CCN(c3ccc(C(F)(F)F)cn3)CC2)C1
rxnflow_seh,best_candidate,40,40,120,3,7.186926364898682,Nc1cc(C(=O)O)ccc1NC(=O)c1ccc(CNCCc2c[nH]c3ccccc23)cc1,Nc1cc(C2=NCCc3ccccc32)ccc1NC(=O)c1ccc(CNCCc2c[nH]c3ccccc23)cc1
rxnflow_seh,best_candidate,41,41,123,3,7.182994365692139,O=C(O)c1ccc(O)c(NC(=O)c2ccccc2NC(=O)C2Cc3ccccc3CN2)c1,O=C(Nc1cc(C2=NCCc3c2[nH]c2ccccc32)ccc1O)c1ccccc1NC(=O)C1Cc2ccccc2CN1
rxnflow_seh,best_candidate,42,42,126,3,7.1793599128723145,O=C(O)C1CCN(C(=O)c2ccc(Cn3nnc(-c4ccc(F)nc4)n3)cc2)CC1,O=C(NC12CC(C1)C2)C1CCN(C(=O)c2ccc(Cn3nnc(-c4ccc(F)nc4)n3)cc2)CC1
rxnflow_seh,best_candidate,43,43,129,3,7.178786754608154,O=C1Cc2ccc(C(=O)Cn3nnc(-c4ccc(CNc5c(F)cccc5C(=O)O)cn4)n3)cc2N1,O=C1Cc2ccc(C(=O)Cn3nnc(-c4ccc(CNc5c(F)cccc5C5=NCCc6ccccc65)cn4)n3)cc2N1
rxnflow_seh,best_candidate,44,44,132,3,7.177973747253418,Nc1cc(C(=O)O)ccc1NC(=O)c1ccccc1NC(=O)C1Cc2ccccc2CN1,Nc1cc(C(=O)NCc2ccccc2)ccc1NC(=O)c1ccccc1NC(=O)C1Cc2ccccc2CN1
rxnflow_seh,best_candidate,45,45,135,3,7.151526927947998,O=C(O)c1ccc(O)c(NCc2cccc(CNCc3ccccc3)c2)c1,Oc1ccc(C2=NCCc3ccccc32)cc1NCc1cccc(CNCc2ccccc2)c1
rxnflow_seh,best_candidate,46,46,138,3,7.142797946929932,O=C(O)c1ccc2nc(-c3cccc(CNCc4ccc(C(F)(F)F)cc4)c3)[nH]c2c1,FC(F)(F)c1ccc(CNCc2cccc(-c3nc4ccc(CNC56CC(C5)C6)cc4[nH]3)c2)cc1
rxnflow_seh,best_candidate,47,47,141,3,7.138123512268066,O=C(NC1(C(=O)O)CCC1)c1ccc(CNCc2ccc(C(F)(F)F)cc2)cc1,O=C(NC1(C(=O)Nc2ccnc3ccccc23)CCC1)c1ccc(CNCc2ccc(C(F)(F)F)cc2)cc1
rxnflow_seh,best_candidate,48,48,144,3,7.130382061004639,Nc1cc(-c2nc3cc(C(=O)O)ccc3o2)ccc1NCC1Cc2ccccc2CN1,COc1cccc(CNC(=O)c2ccc3oc(-c4ccc(NCC5Cc6ccccc6CN5)c(N)c4)nc3c2)c1
rxnflow_seh,best_candidate,49,49,147,3,7.126235485076904,O=C(O)C1CN(Cc2ccc(CNCc3ccccc3)cc2)C1,c1ccc(CNCc2ccc(CN3CC(C4=NCCc5ccccc54)C3)cc2)cc1
rxnflow_seh,best_candidate,50,50,150,3,7.124906539916992,O=C(O)c1cccc2oc(-c3ccc(CNCc4ccc(C(F)(F)F)cc4)cc3)nc12,O=C(NC12CC(C1)C2)c1cccc2oc(-c3ccc(CNCc4ccc(C(F)(F)F)cc4)cc3)nc12
rxnflow_seh,best_candidate,51,51,153,3,7.123833656311035,CC(NC(=O)Nc1cc(C(=O)N2CCCC(C(=O)O)C2)ccc1O)c1ccccc1,CC(NC(=O)Nc1cc(C(=O)N2CCCC(C(=O)NCc3c[nH]c4ccccc34)C2)ccc1O)c1ccccc1
rxnflow_seh,best_candidate,52,52,156,3,7.121956825256348,O=C(NC1(C(=O)O)CCC1)c1cccc(CNCc2c[nH]c3ccccc23)c1,O=C(NC1(C(=O)NC23CC(C2)C3)CCC1)c1cccc(CNCc2c[nH]c3ccccc23)c1
rxnflow_seh,best_candidate,53,53,159,3,7.116705894470215,Nc1cc(CNc2cc(C(=O)O)ccc2O)ccc1NCC1Cc2ccccc2CN1,Nc1cc(CNc2cc(C(=O)NCc3ccccc3)ccc2O)ccc1NCC1Cc2ccccc2CN1
rxnflow_seh,best_candidate,54,54,162,3,7.109482288360596,O=C(Nc1ccccc1)NC1(C(=O)NC2(C(=O)O)CCC2)CCC1,O=C(Nc1ccccc1)NC1(C(=O)NC2(C(=O)Nc3ccnc4ccccc34)CCC2)CCC1
rxnflow_seh,best_candidate,55,55,165,3,7.107741355895996,CC(NCc1ccc(CNc2cc(C(=O)O)ccc2O)cc1)c1ccccc1,CC(NCc1ccc(CNc2cc(C3=NCCc4c3[nH]c3ccccc43)ccc2O)cc1)c1ccccc1
rxnflow_seh,best_candidate,56,56,168,3,7.104709148406982,O=C(O)c1ccc2nc(-c3cccc(F)c3NCC3Cc4ccccc4CN3)[nH]c2c1,Oc1ccc2c(c1)C(c1ccc3nc(-c4cccc(F)c4NCC4Cc5ccccc5CN4)[nH]c3c1)=NCC2
rxnflow_seh,best_candidate,57,57,171,3,7.085700035095215,O=C(O)c1ccc2oc(C3CCN(c4ccc(C(F)(F)F)cn4)CC3)nc2c1,FC(F)(F)c1ccc(N2CCC(c3nc4cc(C5=NCCc6ccccc65)ccc4o3)CC2)nc1
rxnflow_seh,best_candidate,58,58,174,3,7.085160732269287,O=C(O)C1CN(Cc2ccc(-c3nnn(Cc4cc(=O)[nH]c5ccccc45)n3)nc2)C1,O=c1cc(Cn2nnc(-c3ccc(CN4CC(C5=NCCc6ccccc65)C4)cn3)n2)c2ccccc2[nH]1
rxnflow_seh,best_candidate,59,59,177,3,7.0844035148620605,O=C(O)c1ccc(NC(=O)C2(NC(=O)C3Cc4ccccc4CN3)CCC2)c(O)c1,O=C(Nc1cccc2cc[nH]c12)c1ccc(NC(=O)C2(NC(=O)C3Cc4ccccc4CN3)CCC2)c(O)c1
rxnflow_seh,best_candidate,60,60,180,3,7.080050945281982,O=C(O)C1Cc2ccccc2CN1Cc1ccc(Cn2nnc(-c3ccc(N=C=S)cc3)n2)cc1,S=C=Nc1ccc(-c2nnn(Cc3ccc(CN4Cc5ccccc5CC4C4=NCCc5ccccc54)cc3)n2)cc1
