budget_rxns,used_rxns,n_selected,n_modes,mode_rate,rxn_per_selected,rxn_per_mode,total_reward,milp_status,solve_s
50,50,47,3,0.0638,1.0638,16.6667,374.8815,Optimal,92.52
100,100,93,16,0.172,1.0753,6.25,736.3452,Optimal,105.57
125,125,116,22,0.1897,1.0776,5.6818,917.088,Optimal,125.03
150,150,138,18,0.1304,1.087,8.3333,1097.3602,Optimal,135.83
200,200,184,32,0.1739,1.087,6.25,1461.874,Optimal,101.98
300,300,275,48,0.1745,1.0909,6.25,2174.5319,Optimal,115.42
