budget_rxns,used_rxns,n_selected,n_modes,mode_rate,rxn_per_selected,rxn_per_mode,total_reward,milp_status,solve_s
50,50,46,8,0.1739,1.087,6.25,363.4693,Optimal,142.93
100,100,91,18,0.1978,1.0989,5.5556,718.5625,Optimal,208.87
125,125,113,26,0.2301,1.1062,4.8077,896.6769,Optimal,117.05
150,150,135,28,0.2074,1.1111,5.3571,1073.0009,Optimal,169.82
200,200,179,34,0.1899,1.1173,5.8824,1422.9557,Optimal,311.81
300,300,266,49,0.1842,1.1278,6.1224,2121.106,Optimal,127.5
