budget_rxns,used_rxns,n_selected,n_modes,mode_rate,rxn_per_selected,rxn_per_mode,total_reward,milp_status,solve_s
50,50,48,5,0.1042,1.0417,10.0,375.6599,Optimal,54.0
100,100,96,12,0.125,1.0417,8.3333,750.0162,Optimal,70.78
125,125,119,14,0.1176,1.0504,8.9286,932.8137,Optimal,68.68
150,150,141,15,0.1064,1.0638,10.0,1111.3845,Optimal,87.51
200,200,187,28,0.1497,1.0695,7.1429,1471.9433,Optimal,136.25
300,300,279,46,0.1649,1.0753,6.5217,2192.6754,Optimal,174.14
