budget_rxns,used_rxns,n_selected,n_modes,mode_rate,rxn_per_selected,rxn_per_mode,total_reward,milp_status,solve_s
50,50,48,2,0.0417,1.0417,25.0,384.5518,Optimal,30.03
100,100,98,2,0.0204,1.0204,50.0,775.2386,Optimal,52.56
125,125,122,3,0.0246,1.0246,41.6667,969.7261,Optimal,42.29
150,150,147,3,0.0204,1.0204,50.0,1163.7981,Optimal,26.58
200,200,197,3,0.0152,1.0152,66.6667,1548.7547,Optimal,13.48
300,300,296,14,0.0473,1.0135,21.4286,2314.2678,Optimal,38.64
