strategy,setup_s,hub_pick_s,enumeration_s,reward_gen_s,flow_extract_s,unattributed_s,mode_selection_s,total_s,n_hubs_walked,n_children_scored
hub_batching,0.758,0.198,31.289,45.969,7.2191,0.0,3.7207,89.1538,15,16800
best_candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.229,0.229,0,0
