strategy,setup_s,hub_pick_s,enumeration_s,reward_gen_s,flow_extract_s,unattributed_s,mode_selection_s,total_s,n_hubs_walked,n_children_scored
hub_batching,0.665,0.15,99.2544,70.1105,7109.4427,0.0,11.9925,7291.6152,43,55866
best_candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.3812,0.3812,0,0
