strategy,tau,similarity,modes,reactions_used,reactions_per_mode,reward_gen_calls,stop_reason,pool_limited,total_modes_run,total_reactions_run,wall_s
best_candidate,5.0,0.7,60,300,5.0,0,reactions,False,60,300,1.79
hub_batching,5.0,0.75,296,300,1.0135,1575,reactions,False,296,300,0.13
best_candidate,5.0,0.75,60,300,5.0,0,reactions,False,60,300,1.56
hub_batching,5.0,0.8,296,300,1.0135,1575,reactions,False,296,300,0.12
best_candidate,5.0,0.8,60,296,4.9333,0,reactions,False,61,301,1.43
hub_batching,5.0,0.85,296,300,1.0135,1575,reactions,False,296,300,0.12
best_candidate,5.0,0.85,60,296,4.9333,0,reactions,False,61,301,1.39
hub_batching,5.0,0.9,296,300,1.0135,1575,reactions,False,296,300,0.12
best_candidate,5.0,0.9,60,296,4.9333,0,reactions,False,61,301,1.35
hub_batching,5.5,0.3,77,297,3.8571,104895,reactions,False,78,302,0.54
best_candidate,5.5,0.3,60,300,5.0,0,reactions,False,60,300,1.23
hub_batching,5.5,0.35,118,298,2.5254,76650,reactions,False,119,303,0.51
best_candidate,5.5,0.35,60,300,5.0,0,reactions,False,60,300,3.74
hub_batching,5.5,0.4,176,300,1.7045,48825,reactions,False,176,300,0.45
best_candidate,5.5,0.4,60,300,5.0,0,reactions,False,60,300,6.75
hub_batching,5.5,0.45,214,298,1.3925,32970,reactions,False,215,303,0.4
best_candidate,5.5,0.45,60,300,5.0,0,reactions,False,60,300,5.67
hub_batching,5.5,0.5,249,297,1.1928,19845,reactions,False,250,302,0.3
best_candidate,5.5,0.5,60,300,5.0,0,reactions,False,60,300,4.26
hub_batching,5.5,0.55,268,300,1.1194,12705,reactions,False,268,300,0.25
best_candidate,5.5,0.55,60,300,5.0,0,reactions,False,60,300,3.18
hub_batching,5.5,0.6,280,300,1.0714,8190,reactions,False,280,300,0.19
best_candidate,5.5,0.6,60,300,5.0,0,reactions,False,60,300,2.49
hub_batching,5.5,0.65,288,300,1.0417,4620,reactions,False,288,300,0.15
best_candidate,5.5,0.65,60,300,5.0,0,reactions,False,60,300,2.04
hub_batching,5.5,0.7,292,300,1.0274,3045,reactions,False,292,300,0.13
best_candidate,5.5,0.7,60,300,5.0,0,reactions,False,60,300,1.78
hub_batching,5.5,0.75,296,300,1.0135,1575,reactions,False,296,300,0.13
best_candidate,5.5,0.75,60,300,5.0,0,reactions,False,60,300,1.57
hub_batching,5.5,0.8,296,300,1.0135,1575,reactions,False,296,300,0.12
best_candidate,5.5,0.8,60,296,4.9333,0,reactions,False,61,301,1.44
hub_batching,5.5,0.85,296,300,1.0135,1575,reactions,False,296,300,0.12
best_candidate,5.5,0.85,60,296,4.9333,0,reactions,False,61,301,1.38
hub_batching,5.5,0.9,296,300,1.0135,1575,reactions,False,296,300,0.12
best_candidate,5.5,0.9,60,296,4.9333,0,reactions,False,61,301,1.35
hub_batching,6.0,0.3,76,300,3.9474,108675,reactions,False,76,300,0.66
best_candidate,6.0,0.3,60,300,5.0,0,reactions,False,60,300,1.17
hub_batching,6.0,0.35,113,297,2.6283,78120,reactions,False,114,302,0.46
best_candidate,6.0,0.35,60,300,5.0,0,reactions,False,60,300,3.62
hub_batching,6.0,0.4,172,300,1.7442,50610,reactions,False,172,300,0.41
best_candidate,6.0,0.4,60,300,5.0,0,reactions,False,60,300,6.75
hub_batching,6.0,0.45,212,300,1.4151,34860,reactions,False,212,300,0.35
best_candidate,6.0,0.45,60,300,5.0,0,reactions,False,60,300,5.64
hub_batching,6.0,0.5,248,300,1.2097,21630,reactions,False,248,300,0.28
best_candidate,6.0,0.5,60,300,5.0,0,reactions,False,60,300,4.27
hub_batching,6.0,0.55,264,300,1.1364,14490,reactions,False,264,300,0.25
best_candidate,6.0,0.55,60,300,5.0,0,reactions,False,60,300,3.18
hub_batching,6.0,0.6,280,300,1.0714,8190,reactions,False,280,300,0.18
best_candidate,6.0,0.6,60,300,5.0,0,reactions,False,60,300,2.49
hub_batching,6.0,0.65,288,300,1.0417,4620,reactions,False,288,300,0.15
best_candidate,6.0,0.65,60,300,5.0,0,reactions,False,60,300,2.05
hub_batching,6.0,0.7,292,300,1.0274,3045,reactions,False,292,300,0.13
best_candidate,6.0,0.7,60,300,5.0,0,reactions,False,60,300,1.8
hub_batching,6.0,0.75,296,300,1.0135,1575,reactions,False,296,300,0.13
best_candidate,6.0,0.75,60,300,5.0,0,reactions,False,60,300,1.57
hub_batching,6.0,0.8,296,300,1.0135,1575,reactions,False,296,300,0.12
best_candidate,6.0,0.8,60,296,4.9333,0,reactions,False,61,301,1.44
hub_batching,6.0,0.85,296,300,1.0135,1575,reactions,False,296,300,0.12
best_candidate,6.0,0.85,60,296,4.9333,0,reactions,False,61,301,1.39
hub_batching,6.0,0.9,296,300,1.0135,1575,reactions,False,296,300,0.12
best_candidate,6.0,0.9,60,296,4.9333,0,reactions,False,61,301,1.35
hub_batching,6.5,0.3,72,296,4.1111,113610,reactions,False,73,301,1.37
best_candidate,6.5,0.3,60,300,5.0,0,reactions,False,60,300,1.03
hub_batching,6.5,0.35,106,298,2.8113,81480,reactions,False,107,303,0.34
best_candidate,6.5,0.35,60,300,5.0,0,reactions,False,60,300,3.14
hub_batching,6.5,0.4,157,297,1.8917,56910,reactions,False,158,302,0.36
best_candidate,6.5,0.4,60,300,5.0,0,reactions,False,60,300,6.74
hub_batching,6.5,0.45,204,300,1.4706,37590,reactions,False,204,300,0.29
best_candidate,6.5,0.45,60,300,5.0,0,reactions,False,60,300,5.65
