strategy,n_modes,n_native_routes,native_route_coverage,count_once_reactions,sparrow_reactions,sparrow_priced_modes,abs_diff,rel_diff,sparrow_milp_status,sparrow_n_reaction_nodes,sparrow_n_shared_compounds
best_candidate,100,100,1.0,367,347,100,20,0.0545,Optimal,359,59
hub_batching,100,100,1.0,109,109,100,0,0.0,Optimal,109,39
