strategy,n_modes,n_native_routes,native_route_coverage,count_once_reactions,sparrow_reactions,sparrow_priced_modes,abs_diff,rel_diff,sparrow_milp_status,sparrow_n_reaction_nodes,sparrow_n_shared_compounds
best_candidate,100,100,1.0,364,346,100,18,0.0495,Optimal,357,54
hub_batching,100,100,1.0,110,110,100,0,0.0,Optimal,114,44
