strategy,setup_s,hub_pick_s,enumeration_s,reward_gen_s,flow_extract_s,unattributed_s,mode_selection_s,total_s,n_hubs_walked,n_children_scored
hub_batching,26.213,0.196,0.0,0.0,0.0,13342.9577,13.6661,13383.0328,86,54302
best_candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.3311,0.3311,0,0
