class,n_modes,n_wells,mols_per_well,n_groups,n_singletons,largest_group,largest_group_wells,median_group,mean_group,gini_group,largest_group_share,n_groups_ge2,mols_in_groups_ge2,frac_in_groups_ge2,n_wellgroups_ge2,frac_wells_in_groups_ge2,n_groups_ge4,mols_in_groups_ge4,frac_in_groups_ge4,n_wellgroups_ge4,frac_wells_in_groups_ge4,n_groups_ge8,mols_in_groups_ge8,frac_in_groups_ge8,n_wellgroups_ge8,frac_wells_in_groups_ge8,n_groups_ge10,mols_in_groups_ge10,frac_in_groups_ge10,n_wellgroups_ge10,frac_wells_in_groups_ge10,n_groups_ge24,mols_in_groups_ge24,frac_in_groups_ge24,n_wellgroups_ge24,frac_wells_in_groups_ge24,n_groups_ge96,mols_in_groups_ge96,frac_in_groups_ge96,n_wellgroups_ge96,frac_wells_in_groups_ge96,cell,arm,slice,n_parents,batch_median,batch_max,batch_gini,reactions_used
A,78,66,1.182,15,5,21,14,4,5.2,0.508,0.269,10,73,0.936,10,0.924,8,69,0.885,7,0.818,4,50,0.641,3,0.5,2,33,0.423,2,0.364,0,0,0.0,0,0.0,0,0,0.0,0,0.0,scent_drd2_seed44_par800,hub_batching,at100rxn,4,11.5,54,0.545,100
B,78,66,1.182,9,2,39,29,4,8.667,0.544,0.5,7,76,0.974,7,0.97,7,76,0.974,6,0.924,3,58,0.744,3,0.712,2,49,0.628,2,0.591,1,39,0.5,1,0.439,0,0,0.0,0,0.0,scent_drd2_seed44_par800,hub_batching,at100rxn,4,11.5,54,0.545,100
A,300,274,1.095,85,30,21,14,2,3.529,0.483,0.07,55,270,0.9,54,0.887,25,202,0.673,22,0.617,12,137,0.457,10,0.394,8,103,0.343,6,0.266,0,0,0.0,0,0.0,0,0,0.0,0,0.0,scent_drd2_seed44_par800,hub_batching,full,15,18,54,0.356,338
B,300,274,1.095,17,5,117,102,9,17.647,0.653,0.39,12,295,0.983,12,0.982,10,290,0.967,10,0.964,9,286,0.953,9,0.949,8,277,0.923,8,0.92,4,212,0.707,2,0.522,1,117,0.39,1,0.372,scent_drd2_seed44_par800,hub_batching,full,15,18,54,0.356,338
A,28,28,1.0,28,28,1,1,1.0,1.0,0.0,0.036,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,scent_drd2_seed44_par800,best_candidate,at100rxn,28,1.0,1,0.0,100
B,28,28,1.0,6,1,12,12,3.5,4.667,0.369,0.429,5,27,0.964,5,0.964,3,21,0.75,3,0.75,1,12,0.429,1,0.429,1,12,0.429,1,0.429,0,0,0.0,0,0.0,0,0,0.0,0,0.0,scent_drd2_seed44_par800,best_candidate,at100rxn,28,1.0,1,0.0,100
A,300,300,1.0,300,300,1,1,1.0,1.0,0.0,0.003,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,scent_drd2_seed44_par800,best_candidate,full,298,1.0,2,0.007,1118
B,300,300,1.0,12,2,110,110,15.0,25.0,0.593,0.367,10,298,0.993,10,0.993,9,295,0.983,9,0.983,7,284,0.947,7,0.947,6,276,0.92,6,0.92,4,232,0.773,4,0.773,1,110,0.367,1,0.367,scent_drd2_seed44_par800,best_candidate,full,298,1.0,2,0.007,1118
A,75,68,1.103,12,0,12,11,5.5,6.25,0.332,0.16,12,75,1.0,12,1.0,8,66,0.88,7,0.824,5,51,0.68,4,0.574,3,34,0.453,2,0.309,0,0,0.0,0,0.0,0,0,0.0,0,0.0,scent_drd2_seed44_par800,hub_batching_par800,at100rxn,7,12,18,0.274,100
B,75,68,1.103,5,0,47,42,9,15.0,0.496,0.627,5,75,1.0,5,1.0,4,73,0.973,4,0.971,3,66,0.88,3,0.868,2,57,0.76,1,0.618,1,47,0.627,1,0.618,0,0,0.0,0,0.0,scent_drd2_seed44_par800,hub_batching_par800,at100rxn,7,12,18,0.274,100
A,196,184,1.065,29,0,18,17,6,6.759,0.344,0.092,29,196,1.0,28,0.995,19,173,0.883,18,0.864,14,147,0.75,13,0.712,8,96,0.49,6,0.391,0,0,0.0,0,0.0,0,0,0.0,0,0.0,scent_drd2_seed44_par800,hub_batching_par800,full,19,10,26,0.314,233
B,196,184,1.065,6,0,121,112,19.5,32.667,0.561,0.617,6,196,1.0,6,1.0,6,196,1.0,6,1.0,4,187,0.954,4,0.951,4,187,0.954,4,0.951,3,172,0.878,2,0.75,1,121,0.617,1,0.609,scent_drd2_seed44_par800,hub_batching_par800,full,19,10,26,0.314,233
