strategy,cutoff,cum_reactions,cum_modes
hub_batching,0.5,4,1
hub_batching,0.5,7,2
hub_batching,0.5,10,3
hub_batching,0.5,13,4
hub_batching,0.5,16,5
hub_batching,0.5,19,6
hub_batching,0.5,22,7
hub_batching,0.5,25,8
hub_batching,0.5,28,9
hub_batching,0.5,31,10
hub_batching,0.5,34,11
hub_batching,0.5,37,12
hub_batching,0.5,40,13
hub_batching,0.5,43,14
hub_batching,0.5,46,15
hub_batching,0.5,49,16
hub_batching,0.5,52,17
hub_batching,0.5,55,18
hub_batching,0.5,58,19
hub_batching,0.5,61,20
hub_batching,0.5,64,21
hub_batching,0.5,67,22
hub_batching,0.5,70,23
hub_batching,0.5,73,24
hub_batching,0.5,76,25
hub_batching,0.5,78,26
hub_batching,0.5,81,27
hub_batching,0.5,84,28
hub_batching,0.5,87,29
hub_batching,0.5,89,30
hub_batching,0.5,92,31
hub_batching,0.5,95,32
hub_batching,0.5,98,33
hub_batching,0.5,101,34
hub_batching,0.5,104,35
hub_batching,0.5,107,36
hub_batching,0.5,110,37
hub_batching,0.5,113,38
hub_batching,0.5,116,39
hub_batching,0.5,119,40
hub_batching,0.5,122,41
hub_batching,0.5,125,42
hub_batching,0.5,128,43
hub_batching,0.5,131,44
hub_batching,0.5,134,45
hub_batching,0.5,137,46
hub_batching,0.5,140,47
hub_batching,0.5,143,48
hub_batching,0.5,146,49
hub_batching,0.5,149,50
hub_batching,0.5,152,51
hub_batching,0.5,155,52
hub_batching,0.5,158,53
hub_batching,0.5,160,54
hub_batching,0.5,161,55
hub_batching,0.5,164,56
hub_batching,0.5,167,57
hub_batching,0.5,170,58
hub_batching,0.5,172,59
hub_batching,0.5,175,60
hub_batching,0.5,178,61
hub_batching,0.5,181,62
hub_batching,0.5,184,63
hub_batching,0.5,185,64
hub_batching,0.5,188,65
hub_batching,0.5,191,66
hub_batching,0.5,192,67
hub_batching,0.5,195,68
hub_batching,0.5,198,69
hub_batching,0.5,201,70
hub_batching,0.5,204,71
hub_batching,0.5,207,72
hub_batching,0.5,210,73
hub_batching,0.5,213,74
hub_batching,0.5,216,75
hub_batching,0.5,219,76
hub_batching,0.5,221,77
hub_batching,0.5,224,78
hub_batching,0.5,227,79
hub_batching,0.5,230,80
hub_batching,0.5,233,81
hub_batching,0.5,236,82
hub_batching,0.5,239,83
hub_batching,0.5,242,84
hub_batching,0.5,245,85
hub_batching,0.5,248,86
hub_batching,0.5,250,87
hub_batching,0.5,253,88
hub_batching,0.5,256,89
hub_batching,0.5,259,90
hub_batching,0.5,262,91
hub_batching,0.5,265,92
hub_batching,0.5,268,93
hub_batching,0.5,271,94
hub_batching,0.5,273,95
hub_batching,0.5,276,96
hub_batching,0.5,279,97
hub_batching,0.5,282,98
hub_batching,0.5,285,99
hub_batching,0.5,288,100
hub_batching,0.5,291,101
hub_batching,0.5,294,102
hub_batching,0.5,297,103
hub_batching,0.5,300,104
hub_batching,0.5,303,105
hub_batching,0.5,306,106
hub_batching,0.5,309,107
hub_batching,0.5,312,108
hub_batching,0.5,314,109
hub_batching,0.5,316,110
hub_batching,0.5,319,111
hub_batching,0.5,322,112
hub_batching,0.5,325,113
hub_batching,0.5,328,114
hub_batching,0.5,331,115
hub_batching,0.5,334,116
hub_batching,0.5,337,117
hub_batching,0.5,340,118
hub_batching,0.5,342,119
hub_batching,0.5,345,120
hub_batching,0.5,348,121
hub_batching,0.5,351,122
hub_batching,0.5,352,123
hub_batching,0.5,355,124
hub_batching,0.5,358,125
hub_batching,0.5,361,126
hub_batching,0.5,364,127
hub_batching,0.5,367,128
hub_batching,0.5,370,129
hub_batching,0.5,373,130
hub_batching,0.5,376,131
hub_batching,0.5,379,132
hub_batching,0.5,382,133
hub_batching,0.5,385,134
hub_batching,0.5,387,135
hub_batching,0.5,390,136
hub_batching,0.5,393,137
hub_batching,0.5,394,138
hub_batching,0.5,397,139
hub_batching,0.5,400,140
hub_batching,0.5,403,141
hub_batching,0.5,406,142
hub_batching,0.5,409,143
hub_batching,0.5,412,144
hub_batching,0.5,414,145
hub_batching,0.5,417,146
hub_batching,0.5,420,147
hub_batching,0.5,423,148
hub_batching,0.5,426,149
hub_batching,0.5,428,150
hub_batching,0.5,431,151
hub_batching,0.5,434,152
hub_batching,0.5,435,153
hub_batching,0.5,438,154
hub_batching,0.5,441,155
hub_batching,0.5,444,156
hub_batching,0.5,447,157
hub_batching,0.5,450,158
hub_batching,0.5,453,159
hub_batching,0.5,456,160
hub_batching,0.5,458,161
hub_batching,0.5,461,162
hub_batching,0.5,463,163
hub_batching,0.5,466,164
hub_batching,0.5,469,165
hub_batching,0.5,472,166
hub_batching,0.5,475,167
hub_batching,0.5,478,168
hub_batching,0.5,481,169
hub_batching,0.5,484,170
hub_batching,0.5,487,171
hub_batching,0.5,490,172
hub_batching,0.5,493,173
hub_batching,0.5,496,174
hub_batching,0.5,499,175
hub_batching,0.5,502,176
hub_batching,0.5,505,177
hub_batching,0.5,508,178
hub_batching,0.5,509,179
hub_batching,0.5,512,180
hub_batching,0.5,515,181
hub_batching,0.5,518,182
hub_batching,0.5,521,183
hub_batching,0.5,524,184
hub_batching,0.5,527,185
hub_batching,0.5,530,186
hub_batching,0.5,531,187
hub_batching,0.5,534,188
hub_batching,0.5,537,189
hub_batching,0.5,539,190
hub_batching,0.5,542,191
hub_batching,0.5,545,192
hub_batching,0.5,548,193
hub_batching,0.5,550,194
hub_batching,0.5,553,195
hub_batching,0.5,556,196
hub_batching,0.5,558,197
hub_batching,0.5,561,198
hub_batching,0.5,564,199
hub_batching,0.5,567,200
hub_batching,0.5,570,201
hub_batching,0.5,571,202
hub_batching,0.5,574,203
hub_batching,0.5,577,204
hub_batching,0.5,580,205
hub_batching,0.5,583,206
hub_batching,0.5,586,207
hub_batching,0.5,589,208
hub_batching,0.5,591,209
hub_batching,0.5,594,210
