rank,hub,depth,n_children,n_effective,U_h,mean_Fhat,max_reward,median_reward,n_hits
146,Nc1ccc(-c2cccc(C(=O)NC3CC3)c2)cc1,2,1117,1117,38.918,65.566,8.276,6.691,385
147,O=C(O)c1ccc2nc(C3CCN3)[nH]c2c1,1,9487,9487,38.389,64.714,8.26,6.203,1983
148,CC1(C)OB(c2ccc(NCC3CCN3)nc2)OC1(C)C,1,9878,9878,33.344,61.687,8.26,5.368,149
149,O=C(NC1CC1)c1ccc(-c2nc3ccc(Br)cc3o2)cc1,2,429,429,34.354,69.532,8.321,6.813,171
150,O=C(O)c1ccc2nc(C3CCNCC3)[nH]c2c1,1,9487,9487,36.1,67.085,8.166,6.475,2423
151,Nc1ccc(NCCc2cn(CC3CC3)c3ccccc23)cc1O,2,2626,2626,44.485,66.21,8.168,5.887,326
152,Nc1ccc2nc([C@@H]3CCCN3)oc2c1,2,2210,2210,49.015,59.043,8.137,5.339,217
153,O=C(Nc1cccc(B(O)O)c1)c1ccc2nc([C@@H]3Cc4ccccc4CN3)oc2c1,2,1209,1209,41.948,68.061,8.129,5.029,102
154,N#Cc1cncc(-c2cccc(NC[C@@H]3Cc4ccccc4CN3)c2)c1,2,2286,2286,41.5,69.936,8.157,5.867,212
155,Nc1ccc(-c2cccc(NCc3ccc(-c4nnn(CC5CC5)n4)nc3)c2)cc1N,3,2380,2380,32.651,69.948,8.274,6.887,984
156,O=C(NCCc1c[nH]c2ccccc12)C1CNC1,1,4972,4972,55.696,67.795,8.214,6.642,1659
157,OB(O)c1cccc(NCc2ccc3[nH]c([C@H]4CCCN4)nc3c2)c1,2,2353,2353,44.145,63.582,8.235,4.917,63
158,O=C(O)c1ccc2[nH]c([C@@H]3Cc4ccccc4CN3)nc2c1,1,9487,9487,43.359,66.464,8.235,6.172,2163
159,O=C(O)c1ccc2oc(-c3cccc(C4=NCCc5ccccc54)c3)nc2c1,2,896,896,41.972,67.563,8.2,6.72,308
160,OB(O)c1ccc(NCc2ccc3nc(C4CNC4)oc3c2)cc1,2,2302,2302,43.63,67.126,8.234,5.377,103
161,Brc1cccc2nc([C@@H]3Cc4ccccc4CN3)oc12,1,7139,7139,52.945,64.038,8.166,5.672,1026
162,O=Cc1ccc(-c2ccc3oc(C4CCN4)nc3c2)cc1,2,1517,1517,71.336,61.483,8.124,5.449,171
163,OB(O)c1ccc(NCc2ccc(C3=NCCc4ccccc43)cc2)cc1,2,1209,1209,47.488,68.312,8.181,5.246,77
164,OB(O)c1cccc(NCc2ccc(C3=NCCc4ccccc43)cc2)c1,2,1209,1209,47.633,67.721,8.199,5.144,76
165,O=C(Nc1ccc(Br)cc1)[C@H]1CCCN1,1,7139,7139,33.042,65.955,8.143,6.284,1447
166,O=C(O)c1ccc2nc(-c3ccc4oc(C5CNC5)nc4c3)oc2c1,2,1989,1989,61.388,66.799,8.26,6.161,380
167,O=C(O)c1cccc(-c2ccc(NC(=O)C3CNC3)cc2)c1,2,1989,1989,43.738,65.613,8.208,6.183,387
168,c1cc(-c2nnn(CC3CC3)n2)ccc1COC[C@H]1CCCN1,2,1093,1093,43.723,67.477,8.149,6.907,488
169,Nc1cccc(-c2ccc(O)c(NC[C@@H]3Cc4ccccc4CN3)c2)c1,2,3461,3461,40.839,67.02,8.126,5.893,485
170,O=C(O)c1cccc(-c2ccc(NCC3CNC3)cc2)c1,2,3082,3082,42.996,61.98,8.186,5.456,292
171,c1ccc2c(CNc3ccc4nc(C5CNC5)oc4c3)c[nH]c2c1,2,2237,2237,53.852,63.763,8.291,6.075,282
172,O=C(Nc1ccc(-c2cccc(C(=O)O)c2)cc1)NC1CC1,2,896,896,40.465,66.056,8.253,6.709,296
173,O=C(Nc1cccc(B(O)O)c1)c1ccc2nc([C@@H]3CCCN3)oc2c1,2,1209,1209,43.106,66.533,8.154,5.184,81
174,OB(O)c1ccc2c(ccn2CC2CC2)c1,1,218,218,27.007,63.742,8.283,7.843,150
175,O=C(O)c1cccc2oc([C@H]3CCCN3)nc12,1,9428,9428,30.687,65.433,8.116,6.124,1438
176,O=C(O)c1ccc2oc(-c3ccc4nc(C5CNC5)[nH]c4c3)nc2c1,2,2040,2040,47.214,69.054,8.222,6.143,354
177,O=C(Nc1ccc(-c2cn(CC3CC3)cn2)cc1)C1CCNCC1,3,622,622,47.838,64.163,8.122,7.025,318
178,O=C(O)[C@@H]1CCCN(C(=O)Nc2ccnc3ccccc23)C1,1,4597,4597,33.069,68.438,8.177,6.704,1570
179,OB(O)c1cccc(NCc2ccc3nc(C4CNC4)[nH]c3c2)c1,2,2353,2353,46.735,65.115,8.243,5.164,101
180,c1ccc2c(c1)CN[C@H](c1nc3cc(NCc4c[nH]c5ccccc45)ccc3o1)C2,2,2237,2237,47.975,67.276,8.128,5.865,162
181,Nc1ccc(-c2cccc(NCc3ccc(-c4nnn(CC5CC5)n4)nc3)c2)cc1,3,1350,1350,39.0,63.315,8.255,6.875,588
182,OB(O)c1cccc(NCc2cccc3oc(C4CNC4)nc23)c1,2,2302,2302,43.312,65.566,8.188,5.145,85
183,OB(O)c1ccc2c(ccn2Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c1,2,116,116,12.584,65.616,8.303,7.189,73
184,O=C(O)c1ccccc1NC(=O)C1CNC1,1,9428,9428,32.571,66.562,8.185,6.298,1793
185,c1cc(NCc2ccc(-c3nnn(CC4CC4)n3)nc2)c2c(c1)ccn2CC1CC1,3,622,622,39.68,66.137,8.13,6.958,291
186,CC1(C)OB(c2ccc(NCC3CNC3)nc2)OC1(C)C,1,9878,9878,32.427,60.474,8.239,5.265,150
187,O=C(O)c1ccc2nc(-c3ccc(C(=O)NC45CC(C4)C5)cc3)oc2c1,2,896,896,34.984,69.968,8.249,6.667,287
188,Nc1ccc(CNc2ccc(-c3cn(CC4CC4)cn3)cc2)cc1N,3,2380,2380,39.568,62.967,8.386,6.25,422
189,O=C(O)c1ccc2nc(-c3ccc4[nH]c(C5CNC5)nc4c3)oc2c1,2,2040,2040,48.955,68.773,8.233,6.072,351
190,O=C(O)c1ccc2[nH]c([C@@H]3CCCN3)nc2c1,1,9487,9487,36.78,64.954,8.235,6.213,1691
191,O=C(O)C1CCN1c1ccc2ccccc2n1,1,4597,4597,29.941,64.55,8.121,6.359,926
192,OB(O)c1ccc(NCc2ccc3oc(C4CCN4)nc3c2)cc1,2,2302,2302,39.682,65.594,8.183,5.133,88
193,O=C(O)[C@H]1CCCN(C(=O)[C@@H]2Cc3ccccc3CN2)C1,1,9428,9428,43.617,64.289,8.185,6.202,2191
194,C#Cc1cc(NCC2CCN2)[nH]n1,2,2402,2402,63.246,56.382,8.138,5.178,162
195,OB(O)c1ccc(Nc2ccc(-c3nnn(CC4CC4)n3)cc2)cc1,2,1209,1209,41.156,65.589,8.217,5.056,70
196,OB(O)c1cccc(NCc2ccc3nc(C4CCN4)oc3c2)c1,2,2302,2302,41.275,65.723,8.141,5.124,89
197,Nc1ccc(CNC2(C(=O)Nc3ccnc4ccccc34)CCC2)cc1O,2,2576,2576,41.655,64.217,8.155,5.631,287
198,O=Cc1ccc(-c2nc3cc(-c4nnn(CC5CC5)n4)ccc3o2)cc1,2,424,424,70.32,68.235,8.198,7.011,215
199,c1cc(-c2nnn(CC3CC3)n2)ccc1COCC1CNC1,2,1093,1093,36.922,67.708,8.167,6.858,457
200,Brc1cccc(-c2nc3cc(-c4nnn(CC5CC5)n4)ccc3o2)c1,2,429,429,31.294,69.341,8.235,6.917,195
